EID,change_number,found_change_number,if_change,if_found_change,found_diff,if_found_up
350,1,0,1,0,,0
399,5,2,1,1,80.0,1
632,7,0,1,0,,0
750,1,0,1,0,,0
876,2,0,1,0,,0
1048,2,0,1,0,,0
1330,1,0,1,0,,0
1382,2,1,1,1,1500.0,1
1615,4,2,1,1,140.0,1
1666,4,0,1,0,,0
1689,1,0,1,0,,0
1716,1,0,1,0,,0
1854,3,0,1,0,,0
2116,2,1,1,1,800.0,1
2223,3,0,1,0,,0
2335,4,0,1,0,,0
2377,1,0,1,0,,0
2386,1,0,1,0,,0
2821,1,0,1,0,,0
2863,4,2,1,1,1410.0,1
2922,1,0,1,0,,0
3026,1,0,1,0,,0
3160,1,0,1,0,,0
3324,48,12,1,1,348.4546680000003,1
3431,1,0,1,0,,0
3443,4,0,1,0,,0
3500,3,0,1,0,,0
3728,1,0,1,0,,0
4090,7,0,1,0,,0
4192,5,0,1,0,,0
4253,1,0,1,0,,0
4595,3,0,1,0,,0
4950,2,0,1,0,,0
5658,10,2,1,1,900.0,1
5721,2,0,1,0,,0
5799,1,0,1,0,,0
5826,3,0,1,0,,0
5981,3,0,1,0,,0
5986,4,1,1,1,8800.0,1
6012,1,0,1,0,,0
6034,3,0,1,0,,0
6043,1,0,1,0,,0
6181,1,0,1,0,,0
6248,12,2,1,1,700.0,1
6465,2,0,1,0,,0
6854,9,1,1,1,7900.0,1
6890,1,0,1,0,,0
7004,5,0,1,0,,0
7307,3,0,1,0,,0
7525,2,0,1,0,,0
7708,2,0,1,0,,0
8372,3,0,1,0,,0
8421,1,0,1,0,,0
8579,1,0,1,0,,0
8661,2,0,1,0,,0
8755,2,0,1,0,,0
8959,2,0,1,0,,0
8967,1,0,1,0,,0
9027,12,4,1,1,160.0,1
9359,1,0,1,0,,0
9366,1,0,1,0,,0
9413,1,0,1,0,,0
9452,1,0,1,0,,0
9645,2,0,1,0,,0
9862,2,1,1,1,50.0,1
9900,1,0,1,0,,0
10092,2,0,1,0,,0
10253,1,0,1,0,,0
10587,2,1,1,1,150.0,1
10643,1,0,1,0,,0
10751,1,1,1,1,300.0,1
10882,4,2,1,1,200.0,1
11298,1,0,1,0,,0
11422,3,1,1,1,250.0,1
11647,1,0,1,0,,0
11829,3,0,1,0,,0
12168,3,1,1,1,990.0,1
12449,1,0,1,0,,0
12497,2,0,1,0,,0
12730,1,0,1,0,,0
12836,1,0,1,0,,0
12913,1,0,1,0,,0
12937,3,1,1,1,90.0,1
12968,1,0,1,0,,0
13431,1,0,1,0,,0
13854,5,1,1,1,250.0,1
13859,4,1,1,1,630.0,1
14054,1,0,1,0,,0
14057,4,0,1,0,,0
14157,12,0,1,0,,0
14574,5,2,1,1,94.0,1
15062,1,0,1,0,,0
15223,4,1,1,1,2997.0,1
15649,1,0,1,0,,0
15692,1,0,1,0,,0
16048,5,0,1,0,,0
16088,2,0,1,0,,0
16256,1,0,1,0,,0
16752,6,0,1,0,,0
17128,2,0,1,0,,0
17428,7,1,1,1,90.0,1
17448,1,0,1,0,,0
17591,8,1,1,1,450.0,1
17768,1,0,1,0,,0
17918,1,1,1,1,190.0,1
18039,1,0,1,0,,0
18078,6,1,1,1,313412.2,1
18845,4,0,1,0,,0
18884,1,0,1,0,,0
18918,1,0,1,0,,0
19315,4,1,1,1,450.0,1
19400,4,2,1,1,100.0,1
19480,1,0,1,0,,0
19484,1,0,1,0,,0
19860,1,0,1,0,,0
19888,5,0,1,0,,0
19953,1,0,1,0,,0
20207,2,0,1,0,,0
20386,2,0,1,0,,0
20448,4,2,1,1,300.0,1
20807,1,0,1,0,,0
20818,6,1,1,1,462.5,1
20865,3,0,1,0,,0
21015,1,0,1,0,,0
21054,2,0,1,0,,0
21412,10,0,1,0,,0
21681,1,0,1,0,,0
21715,3,1,1,1,40.0,1
21730,2,0,1,0,,0
21740,1,0,1,0,,0
21870,1,0,1,0,,0
21897,2,0,1,0,,0
21905,1,0,1,0,,0
22207,1,0,1,0,,0
22223,1,0,1,0,,0
22360,1,1,1,1,490.0,1
22610,2,0,1,0,,0
22699,1,0,1,0,,0
22781,2,0,1,0,,0
22940,1,1,1,1,490.0,1
22956,1,0,1,0,,0
23070,1,0,1,0,,0
23141,2,1,1,1,90.0,1
23234,1,0,1,0,,0
23464,2,0,1,0,,0
23880,1,0,1,0,,0
24029,1,0,1,0,,0
24316,2,0,1,0,,0
24325,1,0,1,0,,0
24353,4,0,1,0,,0
24630,1,0,1,0,,0
24818,1,0,1,0,,0
24918,8,0,1,0,,0
24919,2,0,1,0,,0
25082,2,0,1,0,,0
25203,1,0,1,0,,0
25246,6,2,1,1,9800.0,1
25306,1,0,1,0,,0
25442,1,0,1,0,,0
25446,7,0,1,0,,0
25510,4,0,1,0,,0
25656,2,0,1,0,,0
25758,2,1,1,1,4000.0,1
25827,1,0,1,0,,0
26155,1,0,1,0,,0
26518,2,0,1,0,,0
26642,1,0,1,0,,0
26776,1,0,1,0,,0
26812,1,0,1,0,,0
26914,1,0,1,0,,0
27192,1,0,1,0,,0
27304,1,0,1,0,,0
27378,2,1,1,1,90.0,1
27576,1,0,1,0,,0
27794,1,0,1,0,,0
27842,1,0,1,0,,0
27843,1,0,1,0,,0
27848,1,0,1,0,,0
27891,12,0,1,0,,0
28078,5,1,1,1,97.0,1
28138,6,0,1,0,,0
28204,2,0,1,0,,0
28490,5,0,1,0,,0
28763,1,0,1,0,,0
28882,2,0,1,0,,0
28937,1,1,1,1,70.0,1
29061,5,0,1,0,,0
29189,8,0,1,0,,0
29297,2,1,1,1,8.0,1
29391,1,0,1,0,,0
29421,3,0,1,0,,0
29869,2,0,1,0,,0
30150,1,0,1,0,,0
30208,1,0,1,0,,0
30220,5,0,1,0,,0
30405,3,0,1,0,,0
30570,1,1,1,1,-120.0,-1
30840,5,0,1,0,,0
30974,2,0,1,0,,0
31088,1,0,1,0,,0
31262,2,0,1,0,,0
31593,2,1,1,1,40.0,1
31614,12,0,1,0,,0
31682,1,0,1,0,,0
31761,1,0,1,0,,0
31816,1,0,1,0,,0
32145,5,0,1,0,,0
32235,3,0,1,0,,0
32403,1,0,1,0,,0
32425,4,0,1,0,,0
32848,1,0,1,0,,0
32908,1,0,1,0,,0
32916,1,0,1,0,,0
33021,1,0,1,0,,0
33239,2,0,1,0,,0
33363,1,0,1,0,,0
33433,2,0,1,0,,0
33528,1,0,1,0,,0
33614,1,0,1,0,,0
33647,1,0,1,0,,0
33972,1,0,1,0,,0
34186,1,0,1,0,,0
34435,5,1,1,1,90.0,1
34457,1,0,1,0,,0
34483,3,0,1,0,,0
34815,9,0,1,0,,0
34878,1,0,1,0,,0
34928,1,0,1,0,,0
35015,2,0,1,0,,0
35076,4,0,1,0,,0
35537,9,0,1,0,,0
35684,1,0,1,0,,0
35899,6,2,1,1,6840.0,1
36237,2,1,1,1,950.0,1
36355,2,0,1,0,,0
36434,3,0,1,0,,0
36470,2,0,1,0,,0
36823,7,2,1,1,1500.0,1
36968,1,0,1,0,,0
37202,3,0,1,0,,0
37301,1,0,1,0,,0
37347,1,0,1,0,,0
37455,4,1,1,1,290.0,1
37898,2,0,1,0,,0
38005,3,0,1,0,,0
38092,4,1,1,1,10.0,1
38240,3,0,1,0,,0
38851,1,0,1,0,,0
39029,1,0,1,0,,0
39202,3,0,1,0,,0
39374,2,0,1,0,,0
39412,4,1,1,1,50.0,1
39736,6,0,1,0,,0
40445,3,1,1,1,3000.0,1
40449,5,1,1,1,70.0,1
40543,3,0,1,0,,0
40708,7,1,1,1,250.0,1
40809,4,1,1,1,1640.0,1
41465,1,0,1,0,,0
41647,5,2,1,1,0.0,0
41735,2,1,1,1,400.0,1
41766,3,1,1,1,200.0,1
41786,1,0,1,0,,0
42340,1,0,1,0,,0
42369,20,8,1,1,2160.0,1
42472,6,1,1,1,720.0,1
42696,4,0,1,0,,0
42897,2,0,1,0,,0
42934,1,0,1,0,,0
42966,2,0,1,0,,0
43115,6,0,1,0,,0
43253,3,0,1,0,,0
43500,1,0,1,0,,0
43740,1,0,1,0,,0
43752,1,0,1,0,,0
44062,1,0,1,0,,0
44161,3,1,1,1,90.0,1
44514,1,0,1,0,,0
44772,8,0,1,0,,0
44923,2,0,1,0,,0
45174,1,0,1,0,,0
45412,6,0,1,0,,0
45542,2,0,1,0,,0
45550,1,0,1,0,,0
45597,2,0,1,0,,0
45787,5,1,1,1,497.0,1
45967,4,0,1,0,,0
45997,1,0,1,0,,0
46057,2,0,1,0,,0
46189,1,0,1,0,,0
46219,3,0,1,0,,0
46840,1,0,1,0,,0
47060,2,0,1,0,,0
47277,2,0,1,0,,0
47325,1,0,1,0,,0
47406,1,0,1,0,,0
47410,1,0,1,0,,0
47451,2,0,1,0,,0
47508,6,2,1,1,800.0,1
47644,1,0,1,0,,0
47990,3,0,1,0,,0
48105,3,0,1,0,,0
48170,1,1,1,1,4030.0,1
48548,2,1,1,1,50.0,1
48782,4,1,1,1,100.0,1
49063,2,0,1,0,,0
49124,1,0,1,0,,0
49256,8,0,1,0,,0
49640,1,0,1,0,,0
49832,3,0,1,0,,0
49869,1,1,1,1,150.0,1
50268,4,1,1,1,50.0,1
50432,1,0,1,0,,0
50464,6,1,1,1,250.0,1
50555,6,0,1,0,,0
50561,6,1,1,1,790.0,1
50583,4,0,1,0,,0
50689,1,0,1,0,,0
50701,4,1,1,1,950.0,1
50790,3,0,1,0,,0
50861,3,2,1,1,400.0,1
50929,2,0,1,0,,0
51149,46,0,1,0,,0
51284,1,0,1,0,,0
51527,3,0,1,0,,0
51872,5,1,1,1,50.0,1
51925,1,0,1,0,,0
51950,1,0,1,0,,0
52028,1,0,1,0,,0
52362,1,0,1,0,,0
52401,2,1,1,1,40.0,1
52657,1,0,1,0,,0
52756,4,0,1,0,,0
52823,3,1,1,1,20.0,1
53121,1,0,1,0,,0
53140,2,0,1,0,,0
53228,1,0,1,0,,0
53256,6,0,1,0,,0
53490,2,0,1,0,,0
53581,1,0,1,0,,0
53630,1,0,1,0,,0
54071,1,0,1,0,,0
54108,1,0,1,0,,0
54194,1,0,1,0,,0
54223,1,0,1,0,,0
54259,2,0,1,0,,0
54268,3,0,1,0,,0
54687,7,2,1,1,497.0,1
54870,3,1,1,1,90.0,1
55090,3,3,1,1,997.0,1
55161,6,0,1,0,,0
55705,1,0,1,0,,0
55884,2,0,1,0,,0
56335,2,2,1,1,88.0,1
56533,2,0,1,0,,0
56548,1,0,1,0,,0
56959,1,0,1,0,,0
56967,4,0,1,0,,0
57036,1,0,1,0,,0
57152,2,0,1,0,,0
57811,3,0,1,0,,0
57820,1,0,1,0,,0
57910,3,0,1,0,,0
57974,9,2,1,1,2350.0,1
58377,2,0,1,0,,0
58796,3,0,1,0,,0
59044,3,0,1,0,,0
59180,1,0,1,0,,0
59322,5,1,1,1,950.0,1
59482,2,0,1,0,,0
59608,1,0,1,0,,0
59801,1,0,1,0,,0
60138,4,0,1,0,,0
60293,1,0,1,0,,0
60324,1,0,1,0,,0
60392,7,1,1,1,50.0,1
60470,5,2,1,1,1000.0,1
60615,4,1,1,1,97.0,1
60646,4,0,1,0,,0
60720,1,0,1,0,,0
60836,6,1,1,1,197.0,1
60872,1,0,1,0,,0
60999,5,0,1,0,,0
61200,2,0,1,0,,0
61218,10,0,1,0,,0
61355,4,2,1,1,180.0,1
61408,1,0,1,0,,0
62305,1,0,1,0,,0
62352,1,0,1,0,,0
62453,1,0,1,0,,0
62454,3,0,1,0,,0
62459,1,0,1,0,,0
62523,3,0,1,0,,0
62627,1,0,1,0,,0
62726,4,2,1,1,400.0,1
62880,3,0,1,0,,0
62927,1,0,1,0,,0
63159,1,0,1,0,,0
63165,1,0,1,0,,0
63166,4,2,1,1,172.0,1
63869,1,0,1,0,,0
64087,1,0,1,0,,0
64099,2,0,1,0,,0
64210,1,0,1,0,,0
64582,1,0,1,0,,0
64639,12,2,1,1,450.0,1
64745,2,1,1,1,720.0,1
64987,2,0,1,0,,0
65421,2,0,1,0,,0
65482,1,0,1,0,,0
65593,8,4,1,1,8000.0,1
65923,1,0,1,0,,0
66106,1,0,1,0,,0
66861,3,1,1,1,800.0,1
67008,7,1,1,1,97.0,1
67096,4,0,1,0,,0
67487,6,1,1,1,97.0,1
67522,1,0,1,0,,0
67569,2,1,1,1,90.0,1
67615,1,0,1,0,,0
67643,5,0,1,0,,0
68303,5,1,1,1,-1600.0,-1
68387,8,0,1,0,,0
68423,3,1,1,1,600.0,1
68631,4,2,1,1,120.0,1
68869,3,1,1,1,50.0,1
68998,4,2,1,1,500.0,1
69205,1,0,1,0,,0
69296,4,0,1,0,,0
69635,1,0,1,0,,0
69681,3,1,1,1,250.0,1
69806,2,1,1,1,500.0,1
69810,3,0,1,0,,0
69871,2,0,1,0,,0
69983,7,0,1,0,,0
69997,4,0,1,0,,0
70021,2,0,1,0,,0
