EID,ALTCOUNT
5,1
11,4
15,3
17,1
20,2
21,1
25,1
31,1
34,9
42,1
44,1
51,1
53,1
56,5
61,1
76,2
105,1
109,32
117,4
124,4
132,3
136,1
143,12
146,3
147,3
154,1
156,2
168,1
169,4
175,1
177,8
179,3
180,1
181,1
186,1
187,4
194,1
198,4
202,3
211,1
214,2
215,1
216,1
219,4
230,2
231,5
238,2
242,1
246,1
252,1
263,1
268,1
269,1
286,2
288,1
291,2
296,1
301,1
303,4
304,3
306,7
318,3
321,3
324,1
325,5
328,2
329,1
331,5
333,1
343,2
344,1
350,1
353,1
355,1
361,1
388,2
389,1
390,1
397,1
399,5
400,1
406,5
407,4
411,12
418,1
419,3
425,1
426,4
432,7
441,2
462,1
465,2
480,6
485,6
489,7
498,1
510,8
527,10
530,3
531,1
532,3
534,9
535,3
537,4
543,3
546,1
547,2
556,3
565,1
574,2
576,5
584,5
597,1
602,1
620,1
632,7
634,6
653,7
655,2
660,1
662,1
670,2
684,2
687,2
689,1
690,1
696,1
700,5
703,1
704,3
722,5
725,1
742,2
745,2
748,1
750,1
772,1
774,1
786,5
787,2
810,2
814,1
818,1
821,3
822,6
824,3
832,2
834,3
851,1
852,1
855,2
856,1
857,5
867,3
871,1
876,2
883,1
886,1
888,7
890,5
895,4
897,3
914,7
925,7
954,5
961,3
965,1
968,3
983,3
984,2
986,6
993,1
994,4
997,3
1005,2
1010,3
1011,1
1012,4
1021,2
1026,3
1032,1
1041,1
1042,2
1044,1
1045,5
1046,3
1048,2
1052,2
1064,2
1067,1
1071,1
1080,1
1093,1
1094,1
1108,1
1111,2
1115,6
1116,3
1127,1
1131,2
1135,4
1138,1
1147,1
1153,3
1158,4
1161,6
1166,5
1169,2
1170,4
1177,8
1178,7
1182,5
1184,2
1192,4
1193,1
1197,6
1199,4
1200,1
1206,4
1228,1
1231,4
1240,1
1241,2
1242,12
1243,1
1257,1
1261,1
1264,1
1275,5
1280,4
1284,7
1290,5
1294,1
1304,1
1310,1
1318,4
1319,3
1320,4
1330,1
1334,1
1335,3
1339,16
1341,1
1353,4
1357,1
1360,1
1362,8
1364,1
1373,3
1377,2
1382,2
1384,1
1385,1
1386,2
1389,2
1398,8
1399,1
1406,1
1407,12
1408,6
1415,1
1421,4
1425,3
1426,1
1430,1
1435,1
1451,3
1456,2
1458,1
1465,3
1475,2
1478,1
1483,1
1496,2
1505,4
1513,4
1516,7
