EID,BR_COUNT,NORMAL_BR,END_BR,WS_BR,BS_BR,BS_NORMAL_BR,BS_END_BR,WS_NORMAL_BR,WS_END_BR,BRLIVE,BS_END_BR_LIVE,WS_END_BR_LIVE,BRLIVE_AVG,BS_END_BR_LIVE_AVG,WS_END_BR_LIVE_AVG
6,1,1,0,1,0,0,0,1,0,,,,,,
11,1,1,0,1,0,0,0,1,0,,,,,,
26,7,2,5,0,7,2,5,0,0,18.0,18.0,0.0,3.6,3.6,
43,1,1,0,1,0,0,0,1,0,,,,,,
120,1,1,0,0,1,1,0,0,0,,,,,,
143,3,1,2,3,0,0,0,1,2,3.0,0.0,3.0,1.5,,1.5
172,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
173,3,0,3,2,1,0,1,0,2,5.0,3.0,2.0,1.6666666666666667,3.0,1.0
194,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
198,1,1,0,1,0,0,0,1,0,,,,,,
230,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
253,1,0,1,0,1,0,1,0,0,12.0,12.0,0.0,12.0,12.0,
318,5,5,0,5,0,0,0,5,0,,,,,,
325,5,5,0,5,0,0,0,5,0,,,,,,
329,1,1,0,0,1,1,0,0,0,,,,,,
353,2,1,1,2,0,0,0,1,1,4.0,0.0,4.0,4.0,,4.0
391,1,1,0,1,0,0,0,1,0,,,,,,
439,315,303,12,277,38,36,2,267,10,32.0,6.0,26.0,2.6666666666666665,3.0,2.6
446,1,1,0,0,1,1,0,0,0,,,,,,
455,3,2,1,0,3,2,1,0,0,1.0,1.0,0.0,1.0,1.0,
532,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
543,1,1,0,1,0,0,0,1,0,,,,,,
546,1,1,0,0,1,1,0,0,0,,,,,,
548,1,1,0,1,0,0,0,1,0,,,,,,
565,1,1,0,1,0,0,0,1,0,,,,,,
598,1,1,0,0,1,1,0,0,0,,,,,,
608,2,0,2,1,1,0,1,0,1,3.0,1.0,2.0,1.5,1.0,2.0
634,1,1,0,1,0,0,0,1,0,,,,,,
698,1,1,0,0,1,1,0,0,0,,,,,,
702,1,1,0,0,1,1,0,0,0,,,,,,
703,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
724,1,1,0,0,1,1,0,0,0,,,,,,
772,1,1,0,1,0,0,0,1,0,,,,,,
826,1,1,0,1,0,0,0,1,0,,,,,,
859,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
864,1,0,1,0,1,0,1,0,0,10.0,10.0,0.0,10.0,10.0,
925,2,2,0,2,0,0,0,2,0,,,,,,
1012,2,0,2,0,2,0,2,0,0,7.0,7.0,0.0,3.5,3.5,
1093,1,1,0,0,1,1,0,0,0,,,,,,
1104,2,1,1,2,0,0,0,1,1,6.0,0.0,6.0,6.0,,6.0
1215,44,43,1,44,0,0,0,43,1,0.0,0.0,0.0,0.0,,0.0
1267,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
1280,2,2,0,1,1,1,0,1,0,,,,,,
1331,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
1332,3,3,0,3,0,0,0,3,0,,,,,,
1353,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
1362,1,1,0,0,1,1,0,0,0,,,,,,
1407,3,3,0,3,0,0,0,3,0,,,,,,
1426,3,3,0,3,0,0,0,3,0,,,,,,
1429,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
1544,1,1,0,0,1,1,0,0,0,,,,,,
1572,1,0,1,1,0,0,0,0,1,5.0,0.0,5.0,5.0,,5.0
1657,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
1664,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
1681,1,1,0,1,0,0,0,1,0,,,,,,
1719,12,5,7,1,11,5,6,0,1,53.0,45.0,8.0,7.571428571428571,7.5,8.0
1776,1,1,0,0,1,1,0,0,0,,,,,,
1783,4,0,4,3,1,0,1,0,3,11.0,1.0,10.0,2.75,1.0,3.3333333333333335
1787,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
1789,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
1799,2,2,0,0,2,2,0,0,0,,,,,,
1831,5,2,3,1,4,2,2,0,1,23.0,17.0,6.0,7.666666666666667,8.5,6.0
1978,2,0,2,2,0,0,0,0,2,8.0,0.0,8.0,4.0,,4.0
1994,1,1,0,0,1,1,0,0,0,,,,,,
2065,5,1,4,3,2,1,1,0,3,5.0,1.0,4.0,1.25,1.0,1.3333333333333333
2081,1,0,1,1,0,0,0,0,1,5.0,0.0,5.0,5.0,,5.0
2106,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
2176,1,1,0,0,1,1,0,0,0,,,,,,
2212,1,1,0,1,0,0,0,1,0,,,,,,
2222,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
2232,1,1,0,1,0,0,0,1,0,,,,,,
2276,1,1,0,0,1,1,0,0,0,,,,,,
2295,28,25,3,3,25,22,3,3,0,6.0,6.0,0.0,2.0,2.0,
