EID,WSBR,WSENDBR,BSBR,BSENDBR,COUNTBR,ENDBR
6,1,,,,1,
11,1,,,,1,
26,,,7,5,7,5
43,1,,,,1,
120,,,1,,1,
143,3,2,,,3,2
172,,,1,1,1,1
173,2,2,1,1,3,3
194,,,1,1,1,1
198,1,,,,1,
230,,,1,1,1,1
253,,,1,1,1,1
318,5,,,,5,
325,5,,,,5,
329,,,1,,1,
353,2,1,,,2,1
391,1,,,,1,
439,277,10,38,2,315,12
446,,,1,,1,
455,,,3,1,3,1
532,1,1,,,1,1
543,1,,,,1,
546,,,1,,1,
548,1,,,,1,
565,1,,,,1,
598,,,1,,1,
608,1,1,1,1,2,2
634,1,,,,1,
698,,,1,,1,
702,,,1,,1,
703,,,1,1,1,1
724,,,1,,1,
772,1,,,,1,
826,1,,,,1,
859,,,1,1,1,1
864,,,1,1,1,1
925,2,,,,2,
1012,,,2,2,2,2
1093,,,1,,1,
1104,2,1,,,2,1
1215,44,1,,,44,1
1267,1,1,,,1,1
1280,1,,1,,2,
1331,1,1,,,1,1
1332,3,,,,3,
1353,,,1,1,1,1
1362,,,1,,1,
1407,3,,,,3,
1426,3,,,,3,
1429,,,1,1,1,1
1544,,,1,,1,
1572,1,1,,,1,1
1657,,,1,1,1,1
1664,1,1,,,1,1
1681,1,,,,1,
1719,1,1,11,6,12,7
1776,,,1,,1,
1783,3,3,1,1,4,4
1787,,,1,1,1,1
1789,,,1,1,1,1
1799,,,2,,2,
1831,1,1,4,2,5,3
1978,2,2,,,2,2
1994,,,1,,1,
2065,3,3,2,1,5,4
2081,1,1,,,1,1
2106,,,1,1,1,1
2176,,,1,,1,
2212,1,,,,1,
2222,1,1,,,1,1
2232,1,,,,1,
2276,,,1,,1,
2295,3,,25,3,28,3
2322,1,1,,,1,1
2326,,,1,1,1,1
2329,1,,,,1,
2333,,,1,,1,
2368,,,2,,2,
2381,,,3,2,3,2
2418,1,1,,,1,1
2429,1,,,,1,
2430,,,1,1,1,1
2455,,,1,,1,
2468,,,2,,2,
2521,,,1,1,1,1
2533,,,1,1,1,1
2569,2,2,,,2,2
2581,1,1,,,1,1
2604,,,1,1,1,1
2610,,,2,1,2,1
2614,1,,,,1,
2618,1,1,3,1,4,2
2656,,,1,,1,
2670,1,,,,1,
2677,1,,,,1,
2696,,,1,,1,
2705,1,,,,1,
2707,,,1,1,1,1
2755,8,7,1,1,9,8
2790,1,1,,,1,1
2799,,,2,,2,
2825,,,1,,1,
2878,2,2,,,2,2
2882,,,1,1,1,1
2928,,,1,1,1,1
2944,,,2,2,2,2
2970,,,1,,1,
2971,,,6,5,6,5
2978,1,,,,1,
2985,,,1,1,1,1
2994,,,1,,1,
2999,,,1,,1,
3010,,,3,,3,
3037,1,1,,,1,1
3049,1,,,,1,
3069,1,,,,1,
3105,1,,1,,2,
3121,,,1,1,1,1
3134,1,,1,1,2,1
3163,3,2,,,3,2
3226,1,,,,1,
3269,,,1,,1,
3317,,,9,2,9,2
3321,,,2,,2,
3367,,,2,2,2,2
3419,,,1,,1,
3424,,,2,1,2,1
3524,1,,,,1,
3544,,,6,6,6,6
3609,1,1,,,1,1
3624,5,,,,5,
3634,1,,,,1,
3649,4,,,,4,
3745,1,,,,1,
3751,,,1,1,1,1
3780,,,2,,2,
3783,,,1,,1,
3804,1,1,,,1,1
3888,5,,,,5,
3889,1,1,1,,2,1
3894,,,9,5,9,5
3899,1,1,,,1,1
3959,,,1,1,1,1
3975,,,1,,1,
4015,,,3,,3,
4031,2,,,,2,
4046,1,,,,1,
4091,,,1,1,1,1
4102,,,1,,1,
4150,1,1,,,1,1
4160,,,1,,1,
4173,1,,,,1,
4263,2,2,,,2,2
4344,,,1,,1,
4362,9,4,,,9,4
4433,353,30,36,2,389,32
4438,,,1,,1,
4439,4,,1,,5,
4442,,,1,,1,
4478,2,1,,,2,1
4536,1,1,,,1,1
4569,3,,,,3,
4595,,,1,,1,
4626,,,1,,1,
4650,1,1,,,1,1
4674,,,1,,1,
4675,,,1,,1,
4685,,,1,,1,
4747,,,1,1,1,1
4794,,,1,,1,
4804,2,2,,,2,2
4810,,,1,,1,
4828,1,,,,1,
4912,,,1,,1,
4923,,,1,,1,
4925,1,1,,,1,1
4960,,,1,1,1,1
5003,,,1,1,1,1
5044,1,,,,1,
5092,1,1,,,1,1
5135,,,1,,1,
5170,,,1,1,1,1
5183,,,1,,1,
5231,2,1,,,2,1
5257,,,2,,2,
5298,4,3,,,4,3
5305,,,1,,1,
5329,3,,,,3,
5336,,,2,2,2,2
5349,1,,,,1,
5350,1,,,,1,
5363,,,1,,1,
5485,,,1,1,1,1
5495,1,1,,,1,1
5522,,,2,,2,
5544,,,1,,1,
5545,,,1,1,1,1
5584,,,1,,1,
5592,,,2,,2,
5619,1,,2,1,3,1
5621,1,1,,,1,1
5632,,,1,1,1,1
5658,2,2,,,2,2
5687,4,,,,4,
5697,1,,1,,2,
5723,,,8,3,8,3
5727,1,,,,1,
5779,,,8,8,8,8
5795,2,2,2,1,4,3
5797,,,1,1,1,1
5823,,,1,,1,
5835,,,3,,3,
5865,1,,,,1,
5891,,,1,,1,
5901,,,1,,1,
5907,1,1,,,1,1
5939,,,1,1,1,1
5986,5,1,4,1,9,2
5993,1,,,,1,
6076,1,1,,,1,1
6090,1,1,,,1,1
6095,,,1,,1,
6102,5,,,,5,
6104,,,6,3,6,3
6246,,,3,2,3,2
6254,1,,,,1,
6262,1,,,,1,
6272,,,1,,1,
6286,,,1,1,1,1
6303,1,1,,,1,1
6325,,,1,,1,
6326,,,2,1,2,1
6333,1,1,,,1,1
6473,1,1,2,1,3,2
6480,1,1,,,1,1
6491,1,,,,1,
6502,,,1,,1,
6507,,,1,1,1,1
6525,,,17,3,17,3
6533,,,4,3,4,3
6568,1,,,,1,
6580,,,2,1,2,1
6584,,,3,3,3,3
6587,1,1,,,1,1
6668,1,,,,1,
6686,,,5,,5,
6691,7,,14,,21,
6692,4,1,,,4,1
6701,1,1,,,1,1
6714,1,1,,,1,1
6715,1,1,,,1,1
6743,,,1,1,1,1
6747,,,1,1,1,1
6758,69,44,,,69,44
6823,,,1,1,1,1
6827,6,6,,,6,6
6828,1,1,,,1,1
6849,,,3,2,3,2
6868,,,4,3,4,3
6872,1,1,,,1,1
6989,1,,,,1,
6998,2,1,,,2,1
7002,1,1,,,1,1
7027,,,1,,1,
7053,1,,,,1,
7067,,,4,,4,
7118,1,,,,1,
7142,1,,,,1,
7248,1,,2,1,3,1
7252,2,2,4,1,6,3
7268,1,1,,,1,1
7319,1,1,,,1,1
7334,1,,,,1,
7339,,,4,,4,
7371,1,,,,1,
7408,,,1,,1,
7491,,,1,1,1,1
7503,,,1,1,1,1
7511,,,1,1,1,1
7533,,,3,,3,
7536,,,1,1,1,1
7576,1,1,,,1,1
7603,,,1,,1,
7617,1,1,5,,6,1
7637,,,1,1,1,1
7675,,,2,1,2,1
7685,,,1,,1,
7697,,,1,,1,
7701,1,1,2,2,3,3
7725,2,2,,,2,2
7755,,,1,,1,
7875,1,,,,1,
7877,,,1,1,1,1
7896,2,2,2,2,4,4
7911,4,3,,,4,3
7934,,,1,1,1,1
7950,,,1,1,1,1
7974,,,1,,1,
7983,,,1,,1,
8074,,,1,,1,
8124,,,1,,1,
8139,,,1,,1,
8147,1,,,,1,
8252,1,,,,1,
8262,,,1,,1,
8291,,,1,,1,
8372,,,1,1,1,1
8386,,,1,1,1,1
8410,1,1,,,1,1
8418,1,1,,,1,1
8430,1,,,,1,
8454,,,1,1,1,1
8465,1,1,,,1,1
8477,1,1,,,1,1
8520,1,,,,1,
8562,,,1,1,1,1
8583,1,,,,1,
8623,,,1,,1,
8646,1,1,,,1,1
8651,,,1,,1,
8676,1,1,,,1,1
8693,,,8,,8,
8717,,,1,1,1,1
8736,1,1,,,1,1
8748,1,1,,,1,1
8755,6,5,,,6,5
8763,,,1,1,1,1
8768,15,1,4,,19,1
8848,1,,,,1,
8866,,,4,1,4,1
8867,,,1,1,1,1
8907,1,1,,,1,1
8909,,,1,1,1,1
9017,,,3,,3,
9058,1,,,,1,
9176,,,1,,1,
9179,,,1,1,1,1
9197,1,,,,1,
9207,,,2,1,2,1
9231,,,1,,1,
9237,1,1,,,1,1
9266,,,1,1,1,1
9272,,,2,2,2,2
9277,,,1,1,1,1
9324,1,1,,,1,1
9328,1,,,,1,
9353,1,,,,1,
9366,,,2,2,2,2
9378,,,1,,1,
9379,1,1,,,1,1
9380,,,1,,1,
9404,,,1,,1,
9429,,,7,3,7,3
9550,,,1,1,1,1
9674,,,5,,5,
9725,,,1,1,1,1
9734,1,1,,,1,1
9752,,,1,,1,
9794,14,7,,,14,7
9830,1,1,,,1,1
9876,1,,,,1,
9881,1,,,,1,
9900,1,,1,,2,
9906,1,,,,1,
9915,,,14,,14,
9920,,,10,1,10,1
9941,,,1,,1,
9958,1,1,,,1,1
9973,2,2,1,,3,2
9988,44,6,,,44,6
9994,,,1,1,1,1
10072,1,1,1,,2,1
10113,1,1,3,3,4,4
10126,2,,,,2,
10155,1,,,,1,
10179,,,2,,2,
10192,,,1,,1,
10222,,,1,,1,
10248,,,1,1,1,1
10253,,,1,,1,
10275,8,,,,8,
10296,,,1,,1,
10303,1,1,9,8,10,9
10342,1,,,,1,
10352,,,4,3,4,3
10369,1,1,,,1,1
10371,,,1,,1,
10393,,,1,1,1,1
10408,,,1,1,1,1
10427,3,,,,3,
10448,1,,,,1,
10484,,,6,6,6,6
10493,1,,,,1,
10575,,,6,2,6,2
