EID,BTBL,BTCOUNT,BS_BTCOUNT,WS_BTCOUNT,BT_END_COUNT,BT_NORMAL_COUNT,BS_BT_END,WS_BT_END,BT_LIVE,BS_BT_LIVE,WS_BT_LIVE,BS_BT_BL,WS_BT_BL,BS_BT_LIVE_AVG,WS_BT_LIVE_AVG,BT_LIVE_AVG,BT_BL_AVG,BS_BT_BL_AVG,WS_BT_BL_AVG,IS_EXIST_BT,IS_EXIST_NORMAL_BT
4,1.234,3,2,1,0,3,0,0,,,,0.614,0.62,,,,0.41133333333333333,0.307,0.62,1,1
38,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
51,0.5660000000000001,5,2,3,0,5,0,0,,,,0.275,0.29100000000000004,,,,0.11320000000000001,0.1375,0.09700000000000002,1,1
56,6.883000000000001,9,6,3,0,9,0,0,,,,4.7330000000000005,2.15,,,,0.7647777777777779,0.7888333333333334,0.7166666666666667,1,1
64,1.49,2,1,1,0,2,0,0,,,,0.49,1.0,,,,0.745,0.49,1.0,1,1
109,0.22,1,0,1,0,1,0,0,,,,0.0,0.22,,,,0.22,,0.22,1,1
143,7.576999999999996,44,43,1,2,42,2,0,6.0,6.0,0.0,7.076999999999997,0.5,0.13953488372093023,0.0,0.13636363636363635,0.17220454545454536,0.16458139534883715,0.5,1,1
179,0.95,1,1,0,0,1,0,0,,,,0.95,0.0,,,,0.95,0.95,,1,1
253,0.7,1,1,0,1,0,1,0,7.0,7.0,0.0,0.7,0.0,7.0,,7.0,0.7,0.7,,1,0
319,17.892999999999997,33,18,15,1,32,0,1,8.0,0.0,8.0,10.104000000000001,7.789000000000001,0.0,0.5333333333333333,0.24242424242424243,0.5422121212121211,0.5613333333333334,0.5192666666666667,1,1
393,0.307,1,1,0,1,0,1,0,5.0,5.0,0.0,0.307,0.0,5.0,,5.0,0.307,0.307,,1,0
397,0.017,1,1,0,0,1,0,0,,,,0.017,0.0,,,,0.017,0.017,,1,1
405,0.4,1,0,1,0,1,0,0,,,,0.0,0.4,,,,0.4,,0.4,1,1
439,11.6,12,1,11,0,12,0,0,,,,1.0,10.6,,,,0.9666666666666667,1.0,0.9636363636363636,1,1
457,0.15,1,1,0,0,1,0,0,,,,0.15,0.0,,,,0.15,0.15,,1,1
460,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
530,3.388,10,7,3,0,10,0,0,,,,2.2430000000000003,1.145,,,,0.3388,0.32042857142857145,0.38166666666666665,1,1
537,0.615,3,3,0,0,3,0,0,,,,0.615,0.0,,,,0.205,0.205,,1,1
614,0.6,1,1,0,0,1,0,0,,,,0.6,0.0,,,,0.6,0.6,,1,1
648,0.33299999999999996,1,1,0,0,1,0,0,,,,0.33299999999999996,0.0,,,,0.33299999999999996,0.33299999999999996,,1,1
684,0.32,1,0,1,0,1,0,0,,,,0.0,0.32,,,,0.32,,0.32,1,1
698,0.44,1,0,1,1,0,0,1,6.0,0.0,6.0,0.0,0.44,,6.0,6.0,0.44,,0.44,1,0
759,0.051,1,0,1,0,1,0,0,,,,0.0,0.051,,,,0.051,,0.051,1,1
791,0.74,7,7,0,0,7,0,0,,,,0.74,0.0,,,,0.10571428571428572,0.10571428571428572,,1,1
925,9.087,10,0,10,0,10,0,0,,,,0.0,9.087,,,,0.9087,,0.9087,1,1
927,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
954,1.0750000000000002,3,0,3,0,3,0,0,,,,0.0,1.0750000000000002,,,,0.3583333333333334,,0.3583333333333334,1,1
1026,0.79,2,1,1,0,2,0,0,,,,0.3,0.49,,,,0.395,0.3,0.49,1,1
1035,4.7,6,2,4,1,5,0,1,2.0,0.0,2.0,1.4,3.3,0.0,0.5,0.3333333333333333,0.7833333333333333,0.7,0.825,1,1
1066,1.15,3,2,1,0,3,0,0,,,,0.9,0.25,,,,0.3833333333333333,0.45,0.25,1,1
1094,0.2,1,1,0,0,1,0,0,,,,0.2,0.0,,,,0.2,0.2,,1,1
1131,0.49,1,1,0,0,1,0,0,,,,0.49,0.0,,,,0.49,0.49,,1,1
1171,0.708,2,2,0,1,1,1,0,5.0,5.0,0.0,0.708,0.0,2.5,,2.5,0.354,0.354,,1,1
1176,0.33299999999999996,1,0,1,0,1,0,0,,,,0.0,0.33299999999999996,,,,0.33299999999999996,,0.33299999999999996,1,1
1191,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
1197,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
1231,0.11599999999999999,1,1,0,0,1,0,0,,,,0.11599999999999999,0.0,,,,0.11599999999999999,0.11599999999999999,,1,1
1242,0.711,2,1,1,0,2,0,0,,,,0.111,0.6,,,,0.3555,0.111,0.6,1,1
1243,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
1316,0.6799999999999999,2,2,0,2,0,2,0,12.0,12.0,0.0,0.6799999999999999,0.0,6.0,,6.0,0.33999999999999997,0.33999999999999997,,1,0
1318,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
1320,0.4,1,1,0,0,1,0,0,,,,0.4,0.0,,,,0.4,0.4,,1,1
1332,1.8,2,0,2,0,2,0,0,,,,0.0,1.8,,,,0.9,,0.9,1,1
1358,2.833,5,3,2,0,5,0,0,,,,1.333,1.5,,,,0.5666,0.4443333333333333,0.75,1,1
1377,3.34,5,2,3,1,4,1,0,3.0,3.0,0.0,0.85,2.49,1.5,0.0,0.6,0.6679999999999999,0.425,0.8300000000000001,1,1
1382,0.2,1,1,0,0,1,0,0,,,,0.2,0.0,,,,0.2,0.2,,1,1
1425,0.683,3,3,0,1,2,1,0,1.0,1.0,0.0,0.683,0.0,0.3333333333333333,,0.3333333333333333,0.22766666666666668,0.22766666666666668,,1,1
1426,0.5,2,0,2,0,2,0,0,,,,0.0,0.5,,,,0.25,,0.25,1,1
1470,1.6,2,2,0,1,1,1,0,11.0,11.0,0.0,1.6,0.0,5.5,,5.5,0.8,0.8,,1,1
1480,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
1537,2.003,5,5,0,0,5,0,0,,,,2.003,0.0,,,,0.4006,0.4006,,1,1
1565,0.23,1,1,0,0,1,0,0,,,,0.23,0.0,,,,0.23,0.23,,1,1
1572,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
1579,0.5,1,0,1,0,1,0,0,,,,0.0,0.5,,,,0.5,,0.5,1,1
1600,0.34,1,0,1,0,1,0,0,,,,0.0,0.34,,,,0.34,,0.34,1,1
1602,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
1639,0.2,1,0,1,0,1,0,0,,,,0.0,0.2,,,,0.2,,0.2,1,1
1675,0.3,1,0,1,0,1,0,0,,,,0.0,0.3,,,,0.3,,0.3,1,1
1719,1.1019999999999999,4,4,0,0,4,0,0,,,,1.1019999999999999,0.0,,,,0.27549999999999997,0.27549999999999997,,1,1
1759,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
1775,0.09,1,1,0,0,1,0,0,,,,0.09,0.0,,,,0.09,0.09,,1,1
1778,2.4379999999999997,5,2,3,0,5,0,0,,,,1.35,1.0879999999999999,,,,0.4875999999999999,0.675,0.36266666666666664,1,1
1795,0.99,1,1,0,0,1,0,0,,,,0.99,0.0,,,,0.99,0.99,,1,1
1803,3.45,4,1,3,0,4,0,0,,,,1.0,2.45,,,,0.8625,1.0,0.8166666666666668,1,1
1839,0.165,1,1,0,0,1,0,0,,,,0.165,0.0,,,,0.165,0.165,,1,1
1883,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
1885,3.0,3,3,0,1,2,1,0,4.0,4.0,0.0,3.0,0.0,1.3333333333333333,,1.3333333333333333,1.0,1.0,,1,1
1893,0.8,2,2,0,0,2,0,0,,,,0.8,0.0,,,,0.4,0.4,,1,1
1936,1.4,2,1,1,0,2,0,0,,,,0.7,0.7,,,,0.7,0.7,0.7,1,1
1950,1.7000000000000002,2,0,2,0,2,0,0,,,,0.0,1.7000000000000002,,,,0.8500000000000001,,0.8500000000000001,1,1
1964,0.6,1,0,1,0,1,0,0,,,,0.0,0.6,,,,0.6,,0.6,1,1
1993,0.4,1,1,0,0,1,0,0,,,,0.4,0.0,,,,0.4,0.4,,1,1
2006,1.389,9,7,2,0,9,0,0,,,,1.157,0.23199999999999998,,,,0.15433333333333332,0.16528571428571429,0.11599999999999999,1,1
2013,0.021,1,1,0,0,1,0,0,,,,0.021,0.0,,,,0.021,0.021,,1,1
2065,2.2,3,3,0,0,3,0,0,,,,2.2,0.0,,,,0.7333333333333334,0.7333333333333334,,1,1
2074,0.05,1,0,1,0,1,0,0,,,,0.0,0.05,,,,0.05,,0.05,1,1
2097,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
2123,3.399,8,5,3,0,8,0,0,,,,1.349,2.05,,,,0.424875,0.2698,0.6833333333333332,1,1
2169,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
2174,0.15,1,0,1,0,1,0,0,,,,0.0,0.15,,,,0.15,,0.15,1,1
2183,0.067,1,1,0,0,1,0,0,,,,0.067,0.0,,,,0.067,0.067,,1,1
2188,0.87,2,2,0,0,2,0,0,,,,0.87,0.0,,,,0.435,0.435,,1,1
2205,0.6,1,0,1,0,1,0,0,,,,0.0,0.6,,,,0.6,,0.6,1,1
2222,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
2317,0.07200000000000001,1,0,1,0,1,0,0,,,,0.0,0.07200000000000001,,,,0.07200000000000001,,0.07200000000000001,1,1
2323,0.48,1,0,1,0,1,0,0,,,,0.0,0.48,,,,0.48,,0.48,1,1
2326,0.665,2,2,0,0,2,0,0,,,,0.665,0.0,,,,0.3325,0.3325,,1,1
2332,0.99,1,0,1,0,1,0,0,,,,0.0,0.99,,,,0.99,,0.99,1,1
2333,0.54,1,1,0,0,1,0,0,,,,0.54,0.0,,,,0.54,0.54,,1,1
2336,0.49,1,1,0,0,1,0,0,,,,0.49,0.0,,,,0.49,0.49,,1,1
2343,0.95,2,1,1,0,2,0,0,,,,0.35,0.6,,,,0.475,0.35,0.6,1,1
2355,1.976,5,4,1,0,5,0,0,,,,1.925,0.051,,,,0.3952,0.48125,0.051,1,1
2381,3.716,6,6,0,0,6,0,0,,,,3.716,0.0,,,,0.6193333333333334,0.6193333333333334,,1,1
2418,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
2468,12.184000000000001,21,20,1,4,17,4,0,36.0,36.0,0.0,11.684000000000001,0.5,1.8,0.0,1.7142857142857142,0.5801904761904763,0.5842,0.5,1,1
2477,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
2480,0.75,1,0,1,0,1,0,0,,,,0.0,0.75,,,,0.75,,0.75,1,1
2509,0.442,3,2,1,0,3,0,0,,,,0.34199999999999997,0.1,,,,0.14733333333333334,0.17099999999999999,0.1,1,1
2533,2.0,2,2,0,0,2,0,0,,,,2.0,0.0,,,,1.0,1.0,,1,1
2598,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
2648,0.51,1,1,0,0,1,0,0,,,,0.51,0.0,,,,0.51,0.51,,1,1
