EID,WSIN,WSEND,BSIN,BSEND,INCOUNT,ENDCOUNT
4,1,,2,,3,
38,,,1,,1,
51,3,,2,,5,
56,3,,6,,9,
64,1,,1,,2,
109,1,,,,1,
143,1,,43,2,44,2
179,,,1,,1,
253,,,1,1,1,1
319,15,1,18,,33,1
393,,,1,1,1,1
397,,,1,,1,
405,1,,,,1,
439,11,,1,,12,
457,,,1,,1,
460,,,1,,1,
530,3,,7,,10,
537,,,3,,3,
614,,,1,,1,
648,,,1,,1,
684,1,,,,1,
698,1,1,,,1,1
759,1,,,,1,
791,,,7,,7,
925,10,,,,10,
927,,,1,,1,
954,3,,,,3,
1026,1,,1,,2,
1035,4,1,2,,6,1
1066,1,,2,,3,
1094,,,1,,1,
1131,,,1,,1,
1171,,,2,1,2,1
1176,1,,,,1,
1191,,,1,,1,
1197,1,,,,1,
1231,,,1,,1,
1242,1,,1,,2,
1243,,,1,,1,
1316,,,2,2,2,2
1318,,,1,,1,
1320,,,1,,1,
1332,2,,,,2,
1358,2,,3,,5,
1377,3,,2,1,5,1
1382,,,1,,1,
1425,,,3,1,3,1
1426,2,,,,2,
1470,,,2,1,2,1
1480,,,1,,1,
1537,,,5,,5,
1565,,,1,,1,
1572,,,1,,1,
1579,1,,,,1,
1600,1,,,,1,
1602,,,1,,1,
1639,1,,,,1,
1675,1,,,,1,
1719,,,4,,4,
1759,,,1,,1,
1775,,,1,,1,
1778,3,,2,,5,
1795,,,1,,1,
1803,3,,1,,4,
1839,,,1,,1,
1883,,,1,,1,
1885,,,3,1,3,1
1893,,,2,,2,
1936,1,,1,,2,
1950,2,,,,2,
1964,1,,,,1,
1993,,,1,,1,
2006,2,,7,,9,
2013,,,1,,1,
2065,,,3,,3,
2074,1,,,,1,
2097,1,,,,1,
2123,3,,5,,8,
2169,1,,,,1,
2174,1,,,,1,
2183,,,1,,1,
2188,,,2,,2,
2205,1,,,,1,
2222,1,,,,1,
2317,1,,,,1,
2323,1,,,,1,
2326,,,2,,2,
2332,1,,,,1,
2333,,,1,,1,
2336,,,1,,1,
2343,1,,1,,2,
2355,1,,4,,5,
2381,,,6,,6,
2418,1,,,,1,
2468,1,,20,4,21,4
2477,,,1,,1,
2480,1,,,,1,
2509,1,,2,,3,
2533,,,2,,2,
2598,,,1,,1,
2648,,,1,,1,
2656,,,1,,1,
2720,,,2,,2,
2790,,,6,2,6,2
2797,,,2,,2,
2806,1,,3,,4,
2863,1,,,,1,
2882,,,1,,1,
2929,1,,,,1,
2957,1,,1,,2,
2978,1,,,,1,
2994,,,3,2,3,2
3049,,,1,,1,
3086,1,1,,,1,1
3137,2,,,,2,
3154,,,1,,1,
3160,,,1,1,1,1
3163,1,,1,,2,
3192,1,,,,1,
3194,2,,,,2,
3196,,,1,,1,
3250,,,1,,1,
3265,1,,,,1,
3304,,,3,,3,
3332,,,2,,2,
3419,,,21,2,21,2
3443,1,,,,1,
3449,,,1,,1,
3459,,,1,,1,
3524,,,1,1,1,1
3551,,,1,,1,
3558,3,,,,3,
3578,,,1,,1,
3617,1,,,,1,
3628,1,,,,1,
3672,,,4,1,4,1
3688,,,1,,1,
3705,,,1,,1,
3711,,,1,,1,
3728,1,,,,1,
3738,,,1,,1,
3795,,,1,,1,
3804,2,,1,,3,
3815,1,,,,1,
3837,,,9,1,9,1
3888,,,2,,2,
3889,,,1,,1,
3926,1,,5,,6,
3959,2,1,,,2,1
3962,,,1,,1,
3981,1,1,,,1,1
