EID,RIGHT_COUNT,RIGHT_11_COUNT,RIGHT_12_COUNT,RIGHT_20_COUNT,RIGHT_30_COUNT,RIGHT_40_COUNT,RIGHT_50_COUNT,RIGHT_60_COUNT,FUYU_RIGHT,WFUYU_RIGHT,IS_EXIST_WFU
11,68,6,0,3,0,1,58,0,34,34,1
19,1,0,0,0,0,1,0,0,1,0,0
20,12,0,0,0,0,6,0,6,10,2,1
21,7,0,0,0,0,6,0,1,4,3,1
24,1,0,0,0,0,0,0,1,1,0,0
25,1,0,0,0,0,0,0,1,1,0,0
26,2,0,0,0,0,2,0,0,0,2,1
38,1,0,0,0,0,0,0,1,1,0,0
44,1,0,0,0,0,0,0,1,1,0,0
51,1,0,0,0,0,0,0,1,1,0,0
56,2,0,0,0,0,1,0,1,2,0,0
64,65,15,6,16,7,20,0,1,46,19,1
84,3,0,0,0,0,2,0,1,2,1,1
109,3,0,0,0,0,2,0,1,2,1,1
117,11,0,0,0,0,0,1,10,10,1,1
119,1,0,0,0,0,1,0,0,0,1,1
120,14,1,0,7,0,3,2,1,13,1,1
132,3,0,0,0,0,0,0,3,3,0,0
135,10,0,0,0,0,2,1,7,9,1,1
136,1,0,0,0,0,1,0,0,1,0,0
143,2,0,0,0,0,1,0,1,2,0,0
144,1,0,0,0,0,1,0,0,0,1,1
146,1,0,0,0,0,0,0,1,1,0,0
160,1,0,0,0,0,1,0,0,1,0,0
167,1,0,0,0,0,0,0,1,1,0,0
168,1,0,0,0,0,0,0,1,1,0,0
175,1,0,0,0,0,0,0,1,1,0,0
176,5,0,0,0,0,2,0,3,4,1,1
177,8,0,0,0,0,0,7,1,1,7,1
179,2,0,0,0,0,2,0,0,2,0,0
181,1,0,0,0,0,0,0,1,1,0,0
184,9,0,0,0,0,6,2,1,9,0,0
185,1,0,0,0,0,0,0,1,1,0,0
198,24,10,4,2,0,7,0,1,11,13,1
202,7,0,0,0,0,4,0,3,5,2,1
209,1,0,0,0,0,0,1,0,1,0,0
215,2,0,0,0,0,1,0,1,2,0,0
219,1,0,0,0,0,1,0,0,0,1,1
222,1,0,0,0,0,1,0,0,1,0,0
244,2,0,0,0,0,1,0,1,2,0,0
246,3,0,0,0,0,0,0,3,3,0,0
253,2,0,0,0,0,1,0,1,2,0,0
259,1,0,0,0,0,0,0,1,1,0,0
260,10,0,0,0,0,0,8,2,10,0,0
304,1,0,0,0,0,1,0,0,1,0,0
319,93,0,1,0,0,91,0,1,84,9,1
325,8,0,0,0,0,7,0,1,7,1,1
326,1,0,0,0,0,0,0,1,1,0,0
331,1,0,0,0,0,0,0,1,1,0,0
344,4,0,0,0,1,2,0,1,3,1,1
349,1,0,0,0,0,0,0,1,1,0,0
353,17,0,0,0,0,4,12,1,17,0,0
355,2,0,0,0,0,0,0,2,2,0,0
361,1,0,0,0,0,1,0,0,0,1,1
373,2,0,0,0,0,0,0,2,2,0,0
374,1,0,0,0,0,0,0,1,1,0,0
380,1,0,0,0,0,0,0,1,1,0,0
388,2,0,0,0,0,1,0,1,2,0,0
390,2,0,0,0,0,2,0,0,1,1,1
391,12,0,0,0,0,12,0,0,10,2,1
399,11,0,0,0,0,10,0,1,9,2,1
411,6,0,0,1,2,2,0,1,6,0,0
418,1,0,0,0,0,0,0,1,1,0,0
430,2,0,0,0,0,2,0,0,2,0,0
439,17,0,0,0,0,11,0,6,6,11,1
441,2,0,0,0,0,2,0,0,2,0,0
446,1,0,0,0,0,0,0,1,1,0,0
451,2,0,0,0,0,1,0,1,1,1,1
455,5,0,0,0,0,5,0,0,3,2,1
457,3,0,0,0,0,2,0,1,3,0,0
465,1,0,0,0,0,1,0,0,1,0,0
498,1,0,0,0,0,1,0,0,1,0,0
501,1,0,0,0,0,0,0,1,1,0,0
510,3,0,0,0,0,1,0,2,3,0,0
513,3,0,0,0,0,0,0,3,3,0,0
518,1,0,0,0,0,0,0,1,1,0,0
532,2,0,0,0,0,0,1,1,2,0,0
534,6,0,0,0,0,0,0,6,6,0,0
535,5,0,0,0,0,3,1,1,5,0,0
537,8,0,0,0,0,6,0,2,8,0,0
541,12,2,0,5,0,5,0,0,10,2,1
