EID,RIGHTCOUNT
11,68
19,1
20,12
21,6
24,1
26,2
51,1
56,1
64,65
84,2
109,2
117,11
119,1
120,13
132,3
135,10
136,1
143,1
144,1
146,1
160,1
176,2
177,7
179,2
184,8
198,23
202,4
209,1
215,1
219,1
222,1
244,1
253,1
260,8
304,1
319,92
325,7
344,3
353,16
361,1
374,1
388,1
390,2
391,12
399,10
411,5
430,2
439,11
441,2
446,1
451,1
455,5
457,2
465,1
498,1
501,1
510,1
532,2
535,4
537,6
541,12
543,8
548,3
556,9
565,2
572,1
581,13
584,4
598,2
605,1
608,1
613,2
660,2
670,3
671,1
693,5
695,2
703,6
711,3
722,2
731,12
772,1
783,1
809,2
810,1
814,1
821,1
822,1
826,3
834,2
864,1
866,1
882,3
883,1
906,2
928,4
958,1
960,3
965,1
974,1
984,1
997,1
1000,2
1020,4
1026,8
1031,1
1052,4
1066,6
1069,2
1071,1
1080,7
1094,24
1119,3
1125,2
1131,2
1138,8
1145,1
1153,1
1155,3
1163,1
1171,2
1186,1
1192,10
1199,2
1212,2
1239,45
1242,303
1254,1
1270,1
1274,19
1277,1
1283,1
1284,1
1329,1
1341,1
1358,4
1362,4
1366,1
1369,10
1373,17
1398,6
1402,1
1426,6
1430,1
1457,1
1465,9
1478,9
1480,1
1510,1
1530,12
1543,2
1552,12
1571,4
1572,8
1577,2
1579,3
1591,6
1592,4
1594,6
1600,7
1611,1
1612,4
1619,1
1681,28
1683,1
1687,1
1692,4
1693,6
1699,2
1707,9
1719,2
1748,1
1759,6
1760,1
1765,1
1776,3
1778,161
1785,1
1803,23
1809,1
1865,1
1885,12
1887,3
1909,10
1914,5
1919,28
1927,9
1934,1
1942,3
1949,3
1952,1
1955,5
1960,1
1964,22
1971,8
1972,1
1976,7
1977,4
1978,1
1988,1
1989,5
1998,3
2003,13
2011,1
2013,1
2047,5
2060,2
2065,25
2076,5
2081,2
2084,1
2086,6
2097,5
2100,2
2102,16
2124,1
2139,1
2167,7
2169,8
2183,2
2188,19
2196,1
2202,1
2203,3
2205,21
2222,1
2235,1
2242,2
2261,3
2266,10
2311,1
2314,1
2315,1
2329,9
2332,20
2336,38
2366,1
2378,2
2380,23
2381,56
2395,1
2419,5
2429,2
2430,1
2452,2
2453,1
2468,8
2472,3
2477,29
2491,1
2493,4
2500,3
2506,2
2509,1
2511,17
2521,3
2540,2
2542,1
2549,7
2552,5
2568,1
2569,32
2575,2
2581,2
2602,1
2614,2
2619,1
2621,3
2629,2
2643,1
2648,1
2650,2
2656,1
2665,4
2673,1
2677,3
2679,1
2682,1
2705,2
2708,4
2720,10
2732,1
2740,1
2746,9
2748,1
2755,4
2760,1
2782,2
2790,1
2796,1
2797,22
2798,4
2809,1
2815,2
2825,1
2826,2
2835,3
2843,1
2857,3
2858,6
2864,2
2874,2
2879,1
2882,11
2889,3
2915,4
2926,10
2951,24
2954,1
2957,14
2967,3
2968,2
2978,2
3010,1
3027,11
3028,2
3032,1
3041,1
3047,1
3049,14
3055,1
3066,1
3068,1
3069,7
3079,1
3086,2
3102,12
3105,3
3113,4
3130,1
3154,6
3172,6
3194,11
3195,6
3236,1
3239,2
3244,5
3250,2
3260,1
3269,2
3300,4
3301,54
3307,11
3317,6
3320,1
3332,7
3344,2
3355,1
3358,18
3360,1
3377,40
3383,8
3393,1
3415,1
3424,12
3427,2
3432,1
3438,2
3472,4
3473,2
3494,13
3495,9
3507,4
3527,1
3536,2
3553,2
3580,1
3588,4
3599,4
3615,3
3617,1
3619,1
3620,1
3624,1
3634,15
3652,5
3675,2
3689,1
3690,1
3706,3
3711,4
3728,319
3729,1
3749,2
3753,5
3759,1
3764,1
3768,1
3780,3
3788,1
3795,4
3798,1
3804,53
3807,4
3815,3
3856,7
3860,1
3876,12
3886,1
3889,1
3893,1
3899,12
3913,2
3920,1
3977,2
3978,2
3986,3
4000,1
4011,14
4028,2
4041,2
4046,34
4057,19
4090,1
4099,1
4108,4
4113,3
4140,2
4148,4
4170,20
4177,1
4185,1
4189,3
4200,1
4233,1
4253,7
4254,1
4261,3
4268,1
4274,5
4308,6
4310,1
4320,2
4326,26
4333,5
4334,17
4343,4
4362,1
4366,3
4415,1
4417,1
4433,71
4439,1
4442,10
4467,1
4468,1
4471,4
4478,2
4490,2
4497,3
4503,1
4510,3
4512,1
4515,3
4517,4
4524,1
4536,2
4542,1
4556,1
4565,1
4583,35
4601,1
4607,1
4626,7
4641,5
4647,5
4665,1
4671,1
4672,3
4683,27
4684,1
4685,1
4687,6
4699,1
4717,1
4724,10
4741,6
4746,1
4762,1
4789,10
4794,9
4796,3
4802,1
4804,2
4809,1
4810,1
4825,1
4828,395
4835,2
4843,13
4844,7
4857,3
4868,1
4874,2
4877,9
4902,1
4903,1
4914,2
4918,9
4923,1
4930,1
4953,2
4960,2
4967,4
4985,1
4997,6
5000,5
5003,1
5010,1
5017,1
5050,4
5051,4
5069,1
5103,2
5106,1
5118,1
5121,2
5122,2
5125,3
5134,4
5135,1
5139,1
5145,3
5154,5
5174,1
5177,1
5182,2
5189,2
5198,1
5203,1
5218,2
5231,23
5251,68
5252,1
5263,3
5264,1
5272,1
5275,1
5289,8
5293,6
5298,9
5303,2
5314,17
5342,1
5343,1
5349,2
5356,1
5372,2
5384,4
5393,1
5395,1
5404,1
5408,1
5434,1
5445,2
5463,6
5475,1
5506,4
5541,2
5558,6
5561,2
5586,1
5589,1
5598,49
5599,2
5600,10
5610,2
5611,1
5619,30
5625,5
5658,48
5666,1
5687,1
5694,2
5701,3
5703,3
5723,96
5725,8
5728,2
5738,1
5744,1
5785,1
5790,1
5795,15
5797,5
5809,11
5820,2
5824,8
5828,5
5835,3
5849,1
5861,1
5877,10
5907,1
5927,4
5939,4
5955,7
5965,1
5969,2
5974,3
5986,26
5998,1
6002,1
6005,1
6014,2
6034,32
6036,2
6047,1
6049,2
6068,2
6076,23
6090,1
6100,2
6101,1
6112,2
6122,16
6127,2
6134,2
6165,4
6182,2
6184,1
6190,2
6193,1
6219,1
6239,1
6243,1
6248,2
6254,1
6264,6
6276,2
6279,1
6281,3
6322,1
6325,22
6332,1
6333,1
6340,8
6341,2
6397,6
6400,2
6409,4
6452,41
6460,2
6473,107
6512,1
6524,2
6528,4
6539,1
6587,25
6591,51
6598,1
6609,8
6613,6
6616,2
6617,2
6630,2
6650,1
6689,3
6691,1
6692,4
6701,3
6714,1
6715,4
6724,1
6739,4
6746,1
6755,14
6776,1
6777,1
6796,3
6809,4
6824,6
6828,2
6840,21
6843,1
6863,13
6870,7
6872,40
6925,1
6926,5
6953,78
6965,41
6968,13
6969,3
6988,1
7002,6
7004,9
7005,1
7018,1
7020,1
7021,9
7025,2
7038,4
7039,3
7041,1
7044,9
7053,19
7055,2
7086,7
7093,17
7099,12
7103,2
7147,1
7179,4
7195,7
7221,1
7227,1
7235,4
7245,2
7247,1
7248,1
7252,2
7257,3
7273,1
7274,2
7282,5
7289,1
7294,1
7300,1
7310,32
7323,4
7329,2
7356,4
7367,1
7369,3
7371,1
7380,1
7381,8
7387,14
7390,1
7399,2
7401,3
7403,1
7416,1
7421,3
7422,1
7446,3
7475,1
7477,61
7503,4
7511,2
7513,2
7516,1
7530,1
7534,4
7596,1
7599,1
7602,15
7614,6
7617,4
7636,1
7652,1
7660,2
7664,1
7670,2
7680,5
7686,3
7690,2
7708,26
7711,12
7713,1
7725,2
7727,8
7742,5
7746,1
7750,5
7753,2
7755,2
7769,1
7778,1
7796,1
7798,7
7804,3
7805,1
7814,1
7845,1
7856,5
7867,1
7902,2
7905,4
7918,9
7928,2
7932,3
7939,1
7946,21
7965,1
7972,5
7975,1
7983,4
7986,82
8008,1
8017,4
8038,1
8040,4
8061,1
8067,1
8071,3
8074,2
8077,2
8097,6
8099,6
8101,6
8102,30
8110,15
8131,1
8139,3
8142,2
8148,2
8151,1
8158,1
8170,1
8202,1
8214,7
8237,1
8268,1
8272,5
8275,8
8276,3
8280,4
8297,7
8317,1
8323,6
8329,36
8364,1
8384,2
8426,4
8446,3
8459,1
8461,1
8477,12
8492,1
8505,1
8517,6
8520,2
8523,3
8524,2
8529,1
8545,4
8552,2
8557,4
8562,12
8568,1
8571,1
8589,2
8599,1
8626,2
8639,1
8653,1
8668,1
8678,3
8684,7
8685,6
8689,7
8695,1
8717,6
8728,1
8736,23
8768,1
8782,1
8783,1
8784,8
8800,3
8807,1
8831,29
8839,10
8840,17
8845,1
8848,1
8866,11
8867,13
8883,1
8884,1
8907,1
8909,134
8911,1
8953,2
8960,1
9001,1
9006,3
9017,1
9026,2
9039,1
9055,2
9082,1
9094,2
9099,6
9104,1
9112,1
9114,3
9134,5
9138,3
9144,1
9179,10
9187,1
9204,1
9207,1
9221,1
9233,10
9269,5
9296,1
9308,6
9313,1
9319,6
9325,6
9341,2
9348,4
9358,1
9379,1
9390,2
9394,14
9411,5
9413,1
9418,3
9429,1
9434,2
9464,3
9467,1
9474,11
9516,6
9527,11
9535,2
9550,7
9552,1
9558,2
9587,5
9594,1
9620,2
9622,5
9640,4
9645,2
9674,1
9680,3
9682,3
9689,1
9692,2
9702,2
9713,3
9727,8
9733,1
9736,1
9745,4
9750,1
9753,1
9765,3
9776,1
9794,9
9800,4
9804,1
9813,2
9817,6
9818,1
9830,3
9862,3
9871,47
9879,2
9900,5
9914,1
9920,3
9941,3
9954,13
9995,2
9996,1
10006,2
10022,3
10023,1
10026,4
10034,2
10051,1
10072,6
10076,5
10124,1
10125,2
10126,1
10158,2
10164,6
10179,2
10181,1
10183,1
10206,1
10216,1
10229,1
10233,2
10235,1
10242,2
10246,11
10252,2
10253,20
10275,21
10278,3
10286,1
10292,1
10293,6
10297,4
10303,47
10313,1
10320,1
10324,1
10342,1
10349,2
10355,1
10387,3
10399,12
10422,4
10427,3
10434,24
10485,169
10491,5
10498,4
10499,1
10507,2
10532,1
10541,5
10546,7
10552,26
10566,8
10567,3
10571,13
10572,3
10575,4
10580,1
10595,18
10596,1
10601,1
10612,4
10619,11
10638,1
10642,2
10643,1
10647,34
10650,70
10651,1
10653,1
10657,2
10659,1
10663,1
10677,19
10683,39
10689,1
10690,1
10691,2
10701,1
10712,12
10714,6
10719,1
10724,4
10729,3
10747,44
10783,1
10790,3
10799,2
10813,1
10815,1
10820,1
10824,1
10828,1
10860,9
10864,2
10876,1
10887,9
10896,3
10905,2
10917,3
10934,5
10943,1
10946,1
10947,10
10967,1
10984,3
10986,5
10992,2
11005,5
11029,15
11074,3
11084,2
11086,6
11089,3
11099,1
11109,1
11133,55
11138,7
11146,1
11152,1
11160,2
11165,17
11168,6
11203,1
11218,2
11220,1
11231,8
11242,1
11254,1
11259,6
11260,1
11282,5
11283,4
11288,10
11292,2
11296,14
11317,2
11353,1
11357,2
11364,19
11390,4
11398,32
11399,90
11419,2
11428,1
11432,2
11449,1
11460,1
11462,30
11502,5
11521,10
11523,1
11524,2
11531,1
11550,2
11553,6
11559,4
11562,131
11571,1
11572,8
11575,1
11581,8
11599,2
11604,3
11651,17
11659,1
11684,1
11701,2
11708,2
11718,1
11722,7
11723,1
11727,6
11748,3
11773,1
11778,1
11789,9
11815,57
11834,2
11836,5
11837,5
11839,2
11848,19
11849,2
11850,8
11852,1
11860,27
11869,1
11879,1
11886,1
11887,1
11906,11
11908,2
11912,7
11914,1
11928,17
11936,1
11943,1
11953,1
11963,1
12002,1
12005,1
12008,3
12020,1
12049,2
12076,42
12078,1
12081,3
12098,3
12101,1
12108,12
12109,15
12111,1
12123,6
12136,4
12153,1
12168,1
12211,19
12221,6
12222,3
12235,1
12276,1
12335,100
12336,4
12337,1
12346,2
12356,1
12369,5
12374,1
12376,1
12383,2
12391,64
12402,2
12403,1
12413,7
12418,1
12437,8
12461,1
12472,1
12481,3
12482,1
12497,1
12505,3
12515,4
12523,3
12526,3
12532,56
12548,1
12563,11
12611,5
12620,1
12622,1
12642,7
12643,6
12650,2
12657,2
12660,26
12665,47
12668,3
12671,4
12672,28
12674,19
12678,1
12717,8
12728,10
12735,7
12770,1
12777,1
12782,2
12792,5
12798,2
12811,4
12814,21
12827,1
12845,3
12853,1
12860,1
12864,6
12867,1
12916,3
12933,9
12934,3
12936,1
12946,6
12949,4
12967,1
12968,1
12985,2
13000,5
13002,1
13019,2
13023,1
13029,2
13044,12
13045,3
13071,13
13166,1
13175,2
13180,13
13212,4
13214,1
13216,2
13249,1
13267,1
13276,1
13277,5
13285,1
13299,40
13301,1
13308,2
13349,6
13356,1
13360,13
13397,2
13423,1
13431,1
13436,1
13440,2
13452,5
13470,1
13471,3
13483,1
13485,2
13501,1
13503,2
13529,17
13535,2
13537,4
13545,8
13546,2
13548,3
13563,1
13572,14
13585,1
13596,2
13599,3
13613,1
13640,2
13641,6
13668,1
13675,3
13684,14
13771,14
13772,1
13776,1
13788,1
13790,1
13796,2
13808,9
13818,1
13824,1
13838,12
13845,1
13848,1
13849,3
13853,3
13859,1
13869,2
13885,1
13887,14
13898,8
13900,2
13905,6
13913,1
13921,1
13935,3
13964,2
13972,26
13982,6
13985,3
14006,14
14023,2
14035,4
14037,4
14038,1
14044,3
14051,6
14054,3
14063,4
14070,2
14075,12
14078,3
14137,1
14150,2
14156,1
14158,1
14164,1
14174,11
14175,1
14182,3
14205,6
14219,2
14220,5
14228,2
14231,6
14246,1
14247,5
14288,3
14299,2
14327,1
14360,1
14363,1
14383,2
14393,1
14399,1
14404,1
14421,1
14426,1
14428,3
14452,6
14476,2
14478,1
14510,9
14526,1
14527,1
14546,26
14577,1
14582,4
14597,15
14599,44
14610,4
14614,2
14621,1
14645,3
14696,4
14714,1
14720,1
14723,36
14749,1
14752,4
14772,1
14778,1
14790,1
14804,3
14806,1
14815,6
14829,1
14865,1
14875,1
14879,3
14883,4
14908,1
14926,2
14941,3
14964,10
14977,1
14987,5
14989,1
15036,1
15041,1
15045,3
15050,1
15062,4
15067,1
15070,1
15074,14
15079,7
15082,1
15089,1
15091,2
15092,2
15102,6
15117,1
15132,1
15139,4
15155,28
15160,1
15167,3
15192,1
15193,5
15241,1
15243,2
15263,4
15269,3
15306,10
15332,2
15341,2
15350,3
15351,19
15352,8
15353,1
15355,6
15382,3
15384,12
15390,2
15394,2
15415,1
15424,1
15426,1
15447,1
15450,2
15452,1
15454,16
15455,5
15467,3
15491,14
15502,6
15503,1
15513,3
15534,2
15559,1
15564,1
15568,2
15570,2
15578,3
15584,1
15614,1
15623,2
15627,4
15691,1
15694,11
15698,2
15707,4
15728,4
15750,82
15757,3
15759,24
15765,1
15766,1
15778,5
15802,1
15805,1
15813,1
15827,1
15833,1
15838,10
15850,1
15858,1
15886,1
15894,4
15897,2
15902,1
15916,3
15951,1
15967,1
15978,2
15994,9
16008,7
16009,17
16022,2
16025,2
16058,2
16062,1
16087,12
16088,7
16108,4
16115,1
16119,3
16127,15
16131,1
16147,1
16161,1
16165,3
16168,61
16179,1
16183,4
16185,12
16206,22
16208,1
16229,2
16230,3
16233,2
16272,5
16273,1
16316,2
16334,20
16338,3
16355,2
16357,1
16366,2
16392,4
16393,4
16411,1
16416,1
16430,9
16445,4
16452,10
16455,5
16457,7
16483,1
16494,11
16497,16
16513,5
16525,1
16534,1
16557,4
16567,52
16582,3
16599,4
16609,2
16610,1
16617,12
16635,1
16642,8
16646,1
16658,1
16672,96
16692,2
16706,1
16711,3
16714,5
16721,1
16724,5
16725,63
16732,1
16739,17
16741,2
16746,1
16756,1
16763,2
16788,2
16806,3
16809,2
16823,3
16850,14
16862,1
16876,4
16888,8
16891,1
16903,7
16934,8
16956,4
16959,1
16963,10
16986,1
16996,1
16998,4
17025,2
17034,44
17036,1
17044,15
17081,11
17085,11
17097,1
17104,2
17127,1
17134,1
17135,4
17139,4
17151,1
17167,1
17174,4
17208,1
17210,1
17211,5
17216,1
17219,1
17226,10
17230,2
17231,15
17237,1
17238,2
17249,3
17252,2
17282,4
17288,1
17306,1
17311,1
17326,3
17336,1
17340,44
17345,1
17348,2
17351,2
17355,28
17360,1
17365,3
17374,13
17389,1
17422,11
17426,20
17436,13
17448,1
17452,1
17472,2
17493,1
17510,14
17512,6
17513,2
17515,27
17517,3
17519,4
17537,2
17562,1
17563,6
17564,1
17567,4
17583,10
17588,12
17596,2
17612,4
17638,1
17641,59
17652,1
17653,1
17664,3
17672,10
17674,10
17701,4
17702,16
17730,8
17737,1
17759,4
17762,2
17795,3
17798,2
17822,5
17843,4
17844,1
17846,18
17850,1
17854,1
17862,6
17868,12
17879,1
17881,24
17883,2
17889,1
17899,7
17902,5
17908,9
17922,3
17923,1
17947,2
17968,3
17970,2
17985,15
17987,10
17998,9
18019,1
18021,214
18047,2
18048,6
18059,1
18076,2
18078,4
18098,3
18118,1
18121,1
18124,2
18151,4
18165,4
18179,2
18200,1
18213,1
18227,2
18234,5
18255,4
18256,20
18273,5
18282,27
18283,2
18284,1
18314,1
18316,5
18317,6
18323,12
18366,1
18368,1
18380,7
18384,2
18387,1
18398,21
18409,1
18416,1
18422,1
18469,28
18476,4
18478,1
18480,8
18482,3
18486,2
18496,1
18507,1
18518,4
18534,30
18545,3
18555,1
18567,2
18578,4
18598,1
18599,15
18605,1
18607,1
18618,1
18619,1
18626,27
18646,2
18654,8
18670,7
18679,3
18695,1
18704,11
18705,1
18723,2
18737,2
18738,11
18739,1
18758,3
18770,5
18779,1
18785,1
18788,1
18812,1
18816,21
18829,1
18848,30
18851,1
18866,1
18867,4
18868,2
18874,17
18884,3
18895,2
18906,6
18910,1
18928,5
18936,1
18937,45
18941,1
18942,3
18946,1
18959,2
18972,2
18977,1
19009,16
19010,5
19045,2
19050,1
19056,4
19059,1
19064,1
19072,3
19085,4
19087,7
19096,20
19103,10
19105,18
19109,3
19120,4
19140,6
19157,1
19163,3
19168,1
19171,1
19173,1
19186,1
19189,9
19190,1
19196,1
19209,1
19216,8
19223,4
19228,5
19249,1
19253,8
19266,2
19295,1
19315,3
19316,1
19349,2
19353,2
19371,5
19376,1
19380,7
19389,3
19404,5
19407,1
19424,1
19428,2
19439,9
19441,3
19460,2
19465,1
19472,3
19474,2
19484,10
19495,2
19500,6
19521,2
19531,3
19533,1
19538,2
19549,4
19565,1
19580,5
19587,1
19595,1
19626,1
19629,1
19652,4
19676,2
19698,1
19710,2
19715,1
19723,1
19744,3
19755,2
19773,2
19780,3
19800,1
19814,1
19815,1
19835,70
19837,43
19855,15
19860,6
19868,1
19891,1
19906,1
19919,1
19933,1
19948,24
19957,2
19967,1
19982,1
19992,8
19999,4
20010,3
20011,1
20026,6
20060,10
20066,2
20071,1
20098,5
20102,6
20114,2
20127,3
20146,64
20166,1
20169,5
20171,1
20173,3
20185,5
20200,1
20206,15
20230,3
20232,37
20250,8
20258,1
20264,1
20274,28
20279,64
20280,5
20290,2
20296,18
20297,7
20337,1
20342,1
20355,1
20362,1
20364,21
20384,268
20386,1
20399,3
20400,683
20409,2
20423,14
20424,2
20429,3
20435,10
20437,2
20455,1
20463,1
20464,22
20487,1
20490,1
20506,2
20510,1
20528,2
20546,3
20562,2
20570,1
20574,1
20576,5
20606,191
20616,2
20623,1
20625,1
20627,1
20633,1
20636,13
20644,2
20647,1
20652,3
20676,20
20689,4
20709,11
20722,156
20731,10
20748,4
20752,25
20755,19
20758,1
20761,56
20765,19
20771,9
20784,4
20807,14
20811,2
20815,13
20818,5
20826,3
20834,16
20865,1
20866,18
20875,1
20906,1
20924,2
20927,24
20930,2
20938,23
20940,2
20960,25
20965,35
20970,2
20975,5
20981,1
21016,29
21017,7
21020,3
21028,2
21032,2
21043,1
21056,1
21062,1
21065,8
21067,1
21086,1
21109,2
21110,1
21135,1
21137,4
21156,18
21160,1
21162,11
21174,1
21200,1
21209,7
21213,1
21227,1
21238,16
21261,3
21276,1
21281,1
21300,1
21316,2
21322,1
21329,3
21332,4
21341,1
21348,5
21359,1
21366,4
21368,11
21382,1
21386,19
21394,8
21397,31
21412,1
21447,1
21448,4
21466,1
21468,2
21496,9
21502,3
21507,18
21530,18
21531,1
21535,2
21540,4
21543,3
21574,2
21577,4
21593,7
21635,1
21643,2
21645,2
21652,4
21660,2
21663,1
21681,21
21701,5
21715,1
21716,1
21726,1
21730,3
21741,1
21766,1
21773,7
21777,2
21787,1
21810,2
21814,1
21825,4
21834,5
21839,1
21858,3
21864,2
21919,1
21920,1
21942,1
21949,2
21959,1
21967,370
21978,1
22005,1
22008,1
22011,1
22013,15
22014,3
22055,4
22068,1
22079,1
22088,4
22092,2
22101,3
22103,7
22116,2
22129,1
22131,3
22135,2
22136,26
22152,1
22158,1
22163,53
22169,4
22176,3
22177,4
22182,13
22183,1
22209,2
22217,2
22223,3
22225,52
22228,6
22234,1
22237,1
22253,1
22258,1
22278,11
22287,2
22304,15
22314,15
22331,2
22348,1
22382,1
22384,6
22385,15
22404,4
22430,1
22435,6
22444,1
22475,3
22504,2
22515,1
22520,15
22539,3
22541,3
22548,7
22564,8
22570,7
22573,114
22582,1
22610,3
22641,7
22648,3
22651,1
22654,6
22684,2
22695,4
22697,9
22701,1
22727,1
22745,1
22781,5
22804,5
22835,1
22838,2
22839,2
22846,1
22866,10
22869,1
22882,4
22889,6
22898,26
22909,6
22921,8
22924,10
22931,164
22934,3
22938,2
22940,1
22946,28
22948,27
22956,1
22958,1
22967,10
22988,1
22993,6
22996,1
23041,8
23050,6
23051,9
23061,2
23065,5
23079,2
23125,3
23126,15
23137,1
23161,1
23167,4
23179,5
23181,2
23186,1
23201,2
23211,6
23227,2
23242,3
23250,7
23271,10
23283,1
23295,4
23309,4
23324,2
23377,1
23404,1
23406,4
23408,1
23412,4
23414,1
23419,14
23421,1
23434,2
23442,1
23460,1
23468,4
23483,1
23486,5
23494,1
23497,1
23512,1
23514,5
23582,46
23589,136
23613,1
23621,1
23634,1
23649,1
23664,1
23679,2
23686,4
23691,17
23692,6
23706,4
23715,1
23724,1
23737,2
23742,1
23746,3
23760,6
23763,4
23764,3
23768,2
23772,8
23796,49
23797,1
23808,2
23818,1
23827,7
23831,3
23834,7
23855,3
23859,12
23865,1
23869,2
23870,1
23886,15
23892,12
23906,40
23915,7
23918,1
23928,2
23930,1
23933,1
23944,20
23963,1
23988,10
23998,1
24002,5
24007,1
24019,138
24020,24
24024,1
24029,35
24048,4
24054,6
24076,5
24078,2
24103,3
24104,1
24115,3
24117,1
24161,1
24173,1
24190,1
24201,4
24207,2
24208,7
24221,17
24229,2
24234,1
24241,4
24254,3
24274,3
24275,10
24276,32
24311,4
24316,1
24321,22
24323,1
24340,1
24344,1
24346,1
24356,1
24373,1
24380,1
24388,2
24389,1
24402,12
24408,1
24419,3
24449,1
24450,1
24455,1
24466,1
24491,16
24494,3
24497,2
24504,5
24505,2
24527,8
24541,1
24544,3
24587,1
24594,13
24602,5
24625,1
24631,2
24634,2
24649,2
24650,4
24686,1
24691,1
24700,2
24711,27
24718,1
24743,2
24754,108
24763,5
24771,77
24792,5
24809,2
24810,1
24823,74
24826,6
24863,9
24873,4
24877,2
24883,2
24897,1
24905,2
24906,2
24907,2
24911,2
24913,1
24914,8
24916,2
24931,1
24935,4
24936,1
24946,1
24957,1
24960,1
24966,1
24978,4
24988,3
24998,3
25035,1
25038,4
25040,1
25046,1
25047,27
25049,4
25057,8
25063,3
25070,4
25072,2
25077,6
25082,2
25090,35
25103,1
25113,16
25120,1
25122,2
25129,8
25158,6
25173,1
25189,1
25191,37
25195,3
25197,5
25209,2
25235,9
25241,3
25242,6
25246,29
25252,1
25253,2
25254,2
25270,4
25276,1
25292,1
25339,4
25356,2
25358,42
25360,9
25362,1
25373,1
25384,1
25400,29
25406,3
25442,3
25461,8
25480,2
25491,2
25503,1
25509,1
25515,6
25520,4
25571,5
25582,3
25597,2
25608,2
25631,2
25639,2
25643,4
25667,1
25688,1
25693,14
25733,1
25755,11
25756,1
25758,3
25759,374
25764,1
25773,1
25791,3
25793,1
25814,1
25815,1
25817,1
25833,1
25834,1
25862,4
25878,3
25886,1
25891,1
25896,1
25903,8
25906,1
25915,1
25931,35
25950,1
25956,1
25957,10
25965,22
25983,1
25990,2
26002,1
26007,7
26010,3
26029,3
26034,7
26038,2
26039,123
26052,8
26066,1
26096,3
26101,1
26105,1
26113,2
26140,1
26150,3
26167,6
26169,2
26179,13
26187,1
26189,1
26194,1
26199,6
26207,2
26216,1
26224,17
26230,11
26241,38
26242,1
26250,2
26268,2
26272,5
26290,1
26292,1
26295,1
26304,15
26308,5
26326,3
26332,13
26342,1
26343,1
26348,59
26360,2
26375,2
26379,4
26384,22
26416,1
26429,10
26439,1
26458,19
26465,2
26469,14
26478,2
26484,1
26485,6
26501,8
26521,3
26528,1
26531,1
26532,1
26539,10
26546,1
26547,1
26560,1
26580,2
26591,6
26604,1
26609,6
26620,5
26623,3
26628,2
26633,4
26640,3
26675,3
26688,11
26706,1
26728,3
26741,1
26748,12
26749,2
26754,2
26765,26
26771,1
26773,1
26778,5
26781,11
26789,4
26792,12
26803,2
26805,3
26828,2
26832,21
26840,2
26859,1
26866,1
26872,1
26876,1
26879,12
26880,5
26887,1
26889,1
26898,4
26916,1
26919,1
26926,5
26946,1
26951,9
26960,12
26966,1
26974,47
26997,2
26998,15
27006,1
27079,2
27082,2
27084,1
27102,1
27103,2
27108,1
27115,2
27123,4
27134,2
27153,1
27156,12
27163,1
27180,5
27193,1
27206,2
27213,1
27221,1
27229,1
27232,31
27235,4
27237,3
27243,1
27244,2
27295,7
27300,1
27302,9
27313,5
27316,2
27319,7
27330,4
27347,2
27374,2
27383,3
27386,1
27388,1
27393,1
27394,11
27406,1
27408,133
27424,2
27428,1
27436,2
27453,1
27456,1
27464,3
27465,5
27484,1
27490,1
27497,4
27502,1
27516,5
27518,5
27521,4
27545,2
27548,1
27553,1
27561,3
27581,15
27588,1
27591,12
27605,4
27641,5
27654,19
27656,1
27663,14
27666,274
27697,1
27703,1
27714,1
27723,1
27745,1
27757,1
27777,10
27786,3
27787,8
27817,2
27823,4
27825,6
27828,2
27836,1
27839,6
27853,1
27869,42
27878,3
27881,4
27887,1
27909,3
27923,4
27926,1
27927,2
27954,3
27965,6
27974,24
27975,3
27987,34
28013,1
28029,1
28048,11
28059,12
28120,2
28123,19
28125,1
28145,5
28146,10
28157,1
28163,4
28197,4
28205,16
28214,3
28252,6
28275,1
28277,3
28302,1
28338,1
28360,2
28368,23
28371,1
28382,1
28386,2
28402,1
28423,1
28425,4
28438,2
28439,1
28443,2
28445,63
28465,8
28467,30
28469,1
28474,1
28483,2
28488,1
28491,1
28518,1
28527,11
28536,7
28538,6
28558,1
28570,1
28574,36
28597,2
28601,3
28602,4
28604,2
28618,15
28624,1
28633,22
28643,1
28651,1
28657,2
28668,10
28672,2
28676,8
28697,1
28719,102
28736,2
28757,8
28763,2
28788,3
28808,1
28819,1
28820,1
28833,60
28840,4
28854,1
28861,1
28892,1
28893,6
28895,5
28924,2
