EID,PROCOUNT,BS_PROCOUNT,WS_PROCOUNT,BS_RATE
5,22,22,0,1.0
168,1,0,1,0.0
252,2,2,0,1.0
319,1,1,0,1.0
353,3,3,0,1.0
439,3,3,0,1.0
535,1,0,1,0.0
541,2,1,1,0.5
559,1,1,0,1.0
722,2,2,0,1.0
1041,1,1,0,1.0
1052,1,1,0,1.0
1104,1,1,0,1.0
1572,1,1,0,1.0
1653,7,0,7,0.0
1692,1,0,1,0.0
1778,7,5,2,0.7142857142857143
1914,1,1,0,1.0
1964,2,2,0,1.0
2065,2,2,0,1.0
2082,1,0,1,0.0
2090,2,2,0,1.0
2205,1,1,0,1.0
2333,1,1,0,1.0
2403,5,0,5,0.0
2452,2,2,0,1.0
2455,1,1,0,1.0
2491,1,0,1,0.0
2707,5,5,0,1.0
2797,2,2,0,1.0
2806,1,0,1,0.0
2944,1,1,0,1.0
2957,1,0,1,0.0
3220,1,1,0,1.0
3273,1,0,1,0.0
3300,1,0,1,0.0
3524,1,0,1,0.0
3649,1,1,0,1.0
3711,1,1,0,1.0
3743,1,0,1,0.0
3875,3,0,3,0.0
3919,1,1,0,1.0
4224,1,1,0,1.0
4253,1,0,1,0.0
4308,1,1,0,1.0
4458,1,0,1,0.0
4510,8,4,4,0.5
4583,8,2,6,0.25
4595,3,0,3,0.0
4644,1,1,0,1.0
4802,1,1,0,1.0
4877,1,1,0,1.0
5289,10,0,10,0.0
5534,1,1,0,1.0
5666,12,11,1,0.9166666666666666
5697,2,0,2,0.0
5717,3,3,0,1.0
5785,2,0,2,0.0
5836,1,1,0,1.0
5965,1,1,0,1.0
5977,2,2,0,1.0
5986,11,10,1,0.9090909090909091
6076,2,0,2,0.0
6100,10,8,2,0.8
6357,1,1,0,1.0
6397,3,0,3,0.0
6591,1,0,1,0.0
6758,1,0,1,0.0
6824,1,0,1,0.0
7078,1,1,0,1.0
7236,8,8,0,1.0
7602,8,4,4,0.5
7617,1,1,0,1.0
7648,7,1,6,0.14285714285714285
7708,4,4,0,1.0
7805,5,0,5,0.0
7905,4,0,4,0.0
7965,1,0,1,0.0
8025,1,1,0,1.0
8158,1,1,0,1.0
8287,1,1,0,1.0
8323,1,0,1,0.0
8471,1,1,0,1.0
8721,1,0,1,0.0
8755,4,4,0,1.0
8768,17,5,12,0.29411764705882354
8793,1,1,0,1.0
8860,1,1,0,1.0
8883,1,1,0,1.0
8909,1,1,0,1.0
8983,3,3,0,1.0
9006,4,2,2,0.5
9155,1,0,1,0.0
9176,1,0,1,0.0
9358,1,0,1,0.0
9366,1,1,0,1.0
9751,1,1,0,1.0
9988,17,5,12,0.29411764705882354
10126,3,2,1,0.6666666666666666
10208,1,1,0,1.0
10253,2,2,0,1.0
10275,20,10,10,0.5
10367,1,1,0,1.0
10399,1,1,0,1.0
10485,1,0,1,0.0
10567,1,1,0,1.0
10663,1,0,1,0.0
10828,24,24,0,1.0
11055,1,1,0,1.0
11119,1,0,1,0.0
11285,2,0,2,0.0
11317,1,0,1,0.0
11396,16,16,0,1.0
11693,2,2,0,1.0
11848,1,0,1,0.0
11860,3,0,3,0.0
11897,16,15,1,0.9375
12072,1,1,0,1.0
12089,11,11,0,1.0
12127,2,2,0,1.0
12168,1,0,1,0.0
12322,2,2,0,1.0
12335,2,2,0,1.0
12563,7,0,7,0.0
12665,11,2,9,0.18181818181818182
12763,1,0,1,0.0
12824,1,0,1,0.0
12928,1,0,1,0.0
12941,1,0,1,0.0
12946,3,0,3,0.0
13017,2,2,0,1.0
13120,3,1,2,0.3333333333333333
13125,1,1,0,1.0
13130,2,2,0,1.0
13153,1,1,0,1.0
13428,1,1,0,1.0
13452,2,0,2,0.0
13478,1,1,0,1.0
13505,1,1,0,1.0
13537,1,1,0,1.0
13600,1,1,0,1.0
13905,3,3,0,1.0
13922,1,1,0,1.0
14040,1,1,0,1.0
14134,1,1,0,1.0
14174,1,0,1,0.0
14175,1,1,0,1.0
14317,2,0,2,0.0
14321,1,1,0,1.0
14439,1,1,0,1.0
14460,5,5,0,1.0
14474,1,1,0,1.0
14932,15,0,15,0.0
14996,1,0,1,0.0
15049,22,22,0,1.0
15101,1,1,0,1.0
15360,2,2,0,1.0
15513,30,30,0,1.0
15750,3,0,3,0.0
15757,1,1,0,1.0
15778,1,0,1,0.0
15833,8,8,0,1.0
16156,1,1,0,1.0
16453,2,2,0,1.0
16706,1,1,0,1.0
16740,1,1,0,1.0
16876,6,0,6,0.0
16893,1,1,0,1.0
17085,3,3,0,1.0
17197,1,1,0,1.0
17515,15,11,4,0.7333333333333333
17607,1,1,0,1.0
17837,1,1,0,1.0
17846,12,12,0,1.0
17854,1,1,0,1.0
17922,1,1,0,1.0
17985,1,1,0,1.0
18017,1,1,0,1.0
18021,40,10,30,0.25
18067,3,1,2,0.3333333333333333
18078,550,292,258,0.5309090909090909
18105,1,0,1,0.0
18124,2,2,0,1.0
18379,7,2,5,0.2857142857142857
18480,20,0,20,0.0
18534,3,0,3,0.0
18656,2,0,2,0.0
18707,4,1,3,0.25
18739,1,0,1,0.0
18834,5,1,4,0.2
19103,1,1,0,1.0
19235,1,1,0,1.0
19238,5,5,0,1.0
19347,1,1,0,1.0
19397,1,0,1,0.0
19549,1,1,0,1.0
19661,2,2,0,1.0
19673,5,5,0,1.0
19855,2,2,0,1.0
19868,12,8,4,0.6666666666666666
19874,5,5,0,1.0
19948,1,1,0,1.0
19957,1,1,0,1.0
19978,2,2,0,1.0
20067,2,2,0,1.0
20146,50,12,38,0.24
20211,5,0,5,0.0
20226,6,5,1,0.8333333333333334
20232,2,2,0,1.0
20233,2,2,0,1.0
20296,1,0,1,0.0
20339,5,1,4,0.2
20400,143,53,90,0.3706293706293706
20609,1,1,0,1.0
20689,1,1,0,1.0
20731,2,2,0,1.0
20807,4,2,2,0.5
20818,1,0,1,0.0
20866,6,3,3,0.5
20938,1,0,1,0.0
20980,1,1,0,1.0
21035,1,1,0,1.0
21067,1,1,0,1.0
21200,1,1,0,1.0
21240,1,0,1,0.0
21271,1,1,0,1.0
21743,1,1,0,1.0
21851,1,1,0,1.0
21961,1,1,0,1.0
21967,1,0,1,0.0
22048,1,1,0,1.0
22055,1,1,0,1.0
22136,1,1,0,1.0
22250,1,1,0,1.0
22517,2,1,1,0.5
22593,2,2,0,1.0
22683,2,2,0,1.0
22720,3,0,3,0.0
22835,2,1,1,0.5
22866,1,0,1,0.0
22898,3,0,3,0.0
22931,24,12,12,0.5
23221,2,2,0,1.0
23582,3,3,0,1.0
23811,2,0,2,0.0
23880,1,1,0,1.0
23892,3,3,0,1.0
24063,1,1,0,1.0
24103,6,0,6,0.0
24210,3,3,0,1.0
24321,1,1,0,1.0
24365,1,0,1,0.0
24691,5,5,0,1.0
24711,8,0,8,0.0
24754,13,9,4,0.6923076923076923
24810,1,1,0,1.0
24978,1,0,1,0.0
25070,1,0,1,0.0
25084,6,6,0,1.0
25143,3,3,0,1.0
25337,3,2,1,0.6666666666666666
25454,1,0,1,0.0
25463,5,5,0,1.0
25693,1,0,1,0.0
25854,2,2,0,1.0
26083,5,5,0,1.0
26189,10,10,0,1.0
26192,1,0,1,0.0
26224,1,0,1,0.0
26268,10,8,2,0.8
26348,3,2,1,0.6666666666666666
26427,2,1,1,0.5
26429,2,2,0,1.0
26565,1,1,0,1.0
26737,1,1,0,1.0
26771,1,1,0,1.0
26796,2,2,0,1.0
26821,6,6,0,1.0
27011,1,1,0,1.0
27023,1,1,0,1.0
27235,3,2,1,0.6666666666666666
27413,1,1,0,1.0
27467,3,0,3,0.0
27497,5,0,5,0.0
27560,1,1,0,1.0
27562,3,2,1,0.6666666666666666
27828,2,1,1,0.5
27945,3,3,0,1.0
28059,24,22,2,0.9166666666666666
28165,1,1,0,1.0
28242,2,2,0,1.0
28280,12,1,11,0.08333333333333333
28310,2,0,2,0.0
28348,1,1,0,1.0
28352,1,1,0,1.0
28368,2,1,1,0.5
28392,1,1,0,1.0
28610,1,0,1,0.0
28618,1,0,1,0.0
28681,3,3,0,1.0
28819,1,1,0,1.0
28893,6,1,5,0.16666666666666666
28929,4,4,0,1.0
28939,1,1,0,1.0
29041,2,2,0,1.0
29093,114,111,3,0.9736842105263158
29151,4,4,0,1.0
29177,6,6,0,1.0
29361,98,60,38,0.6122448979591837
29399,19,5,14,0.2631578947368421
29416,4,4,0,1.0
29512,1,0,1,0.0
29642,1,1,0,1.0
29665,17,12,5,0.7058823529411765
29668,3,3,0,1.0
29700,2,2,0,1.0
