EID,WSPROCOUNT,BSPROCOUNT,PROCOUNT
5,,22,22
168,1,,1
252,,2,2
319,,1,1
353,,3,3
439,,3,3
535,1,,1
541,1,1,2
559,,1,1
722,,2,2
1041,,1,1
1052,,1,1
1104,,1,1
1572,,1,1
1653,7,,7
1692,1,,1
1778,2,5,7
1914,,1,1
1964,,2,2
2065,,2,2
2082,1,,1
2090,,2,2
2205,,1,1
2333,,1,1
2403,5,,5
2452,,2,2
2455,,1,1
2491,1,,1
2707,,5,5
2797,,2,2
2806,1,,1
2944,,1,1
2957,1,,1
3220,,1,1
3273,1,,1
3300,1,,1
3524,1,,1
3649,,1,1
3711,,1,1
3743,1,,1
3875,3,,3
3919,,1,1
4224,,1,1
4253,1,,1
4308,,1,1
4458,1,,1
4510,4,4,8
4583,6,2,8
4595,3,,3
4644,,1,1
4802,,1,1
4877,,1,1
5289,10,,10
5534,,1,1
5666,1,11,12
5697,2,,2
5717,,3,3
5785,2,,2
5836,,1,1
5965,,1,1
5977,,2,2
5986,1,10,11
6076,2,,2
6100,2,8,10
6357,,1,1
6397,3,,3
6591,1,,1
6758,1,,1
6824,1,,1
7078,,1,1
7236,,8,8
7602,4,4,8
7617,,1,1
7648,6,1,7
7708,,4,4
7805,5,,5
7905,4,,4
7965,1,,1
8025,,1,1
8158,,1,1
8287,,1,1
8323,1,,1
8471,,1,1
8721,1,,1
8755,,4,4
8768,12,5,17
8793,,1,1
8860,,1,1
8883,,1,1
8909,,1,1
8983,,3,3
9006,2,2,4
9155,1,,1
9176,1,,1
9358,1,,1
9366,,1,1
9751,,1,1
9988,12,5,17
10126,1,2,3
10208,,1,1
10253,,2,2
10275,10,10,20
10367,,1,1
10399,,1,1
10485,1,,1
10567,,1,1
10663,1,,1
10828,,24,24
11055,,1,1
11119,1,,1
11285,2,,2
11317,1,,1
11396,,16,16
11693,,2,2
11848,1,,1
11860,3,,3
11897,1,15,16
12072,,1,1
12089,,11,11
12127,,2,2
12168,1,,1
12322,,2,2
12335,,2,2
12563,7,,7
12665,9,2,11
12763,1,,1
12824,1,,1
12928,1,,1
12941,1,,1
12946,3,,3
13017,,2,2
13120,2,1,3
13125,,1,1
13130,,2,2
13153,,1,1
13428,,1,1
13452,2,,2
13478,,1,1
13505,,1,1
13537,,1,1
13600,,1,1
13905,,3,3
13922,,1,1
14040,,1,1
14134,,1,1
14174,1,,1
14175,,1,1
14317,2,,2
14321,,1,1
14439,,1,1
14460,,5,5
14474,,1,1
14932,15,,15
14996,1,,1
15049,,22,22
15101,,1,1
15360,,2,2
15513,,30,30
15750,3,,3
15757,,1,1
15778,1,,1
15833,,8,8
16156,,1,1
16453,,2,2
16706,,1,1
16740,,1,1
16876,6,,6
16893,,1,1
17085,,3,3
17197,,1,1
17515,4,11,15
17607,,1,1
17837,,1,1
17846,,12,12
17854,,1,1
17922,,1,1
17985,,1,1
18017,,1,1
18021,30,10,40
18067,2,1,3
18078,258,292,550
18105,1,,1
18124,,2,2
18379,5,2,7
18480,20,,20
18534,3,,3
18656,2,,2
18707,3,1,4
18739,1,,1
18834,4,1,5
19103,,1,1
19235,,1,1
19238,,5,5
19347,,1,1
19397,1,,1
19549,,1,1
19661,,2,2
19673,,5,5
19855,,2,2
19868,4,8,12
19874,,5,5
19948,,1,1
19957,,1,1
19978,,2,2
20067,,2,2
20146,38,12,50
20211,5,,5
20226,1,5,6
20232,,2,2
20233,,2,2
20296,1,,1
20339,4,1,5
20400,90,53,143
20609,,1,1
20689,,1,1
20731,,2,2
20807,2,2,4
20818,1,,1
20866,3,3,6
20938,1,,1
20980,,1,1
21035,,1,1
21067,,1,1
21200,,1,1
21240,1,,1
21271,,1,1
21743,,1,1
21851,,1,1
21961,,1,1
21967,1,,1
22048,,1,1
22055,,1,1
22136,,1,1
22250,,1,1
22517,1,1,2
22593,,2,2
22683,,2,2
22720,3,,3
22835,1,1,2
22866,1,,1
22898,3,,3
22931,12,12,24
23221,,2,2
23582,,3,3
23811,2,,2
23880,,1,1
23892,,3,3
24063,,1,1
24103,6,,6
24210,,3,3
24321,,1,1
24365,1,,1
24691,,5,5
24711,8,,8
24754,4,9,13
24810,,1,1
24978,1,,1
25070,1,,1
25084,,6,6
25143,,3,3
25337,1,2,3
25454,1,,1
25463,,5,5
25693,1,,1
25854,,2,2
26083,,5,5
26189,,10,10
26192,1,,1
26224,1,,1
26268,2,8,10
26348,1,2,3
26427,1,1,2
26429,,2,2
26565,,1,1
26737,,1,1
26771,,1,1
26796,,2,2
26821,,6,6
27011,,1,1
27023,,1,1
27235,1,2,3
27413,,1,1
27467,3,,3
27497,5,,5
27560,,1,1
27562,1,2,3
27828,1,1,2
27945,,3,3
28059,2,22,24
28165,,1,1
28242,,2,2
28280,11,1,12
28310,2,,2
28348,,1,1
28352,,1,1
28368,1,1,2
28392,,1,1
28610,1,,1
28618,1,,1
28681,,3,3
28819,,1,1
28893,5,1,6
28929,,4,4
28939,,1,1
29041,,2,2
29093,3,111,114
29151,,4,4
29177,,6,6
29361,38,60,98
29399,14,5,19
29416,,4,4
29512,1,,1
29642,,1,1
29665,5,12,17
29668,,3,3
29700,,2,2
29731,1,,1
29810,,1,1
29832,,2,2
29895,,2,2
29915,,1,1
30117,,1,1
30283,,1,1
30365,,7,7
30470,25,57,82
30785,1,,1
30953,,1,1
30959,,1,1
31040,2,1,3
31241,,2,2
31541,,1,1
31979,,1,1
32159,15,,15
32180,,2,2
32186,2,,2
32422,,3,3
32476,,3,3
32496,,1,1
32512,,5,5
32713,,1,1
32722,14,18,32
32732,4,4,8
32826,1,1,2
32929,,2,2
33306,,1,1
33334,1,,1
33424,,3,3
33577,2,,2
33635,,1,1
33787,1,,1
33873,14,3,17
33882,3,,3
34070,4,,4
34083,,8,8
34175,5,3,8
34204,,1,1
34316,,1,1
34319,,1,1
