EID,LAWAMOUNT,LAW_COUNT,LAW_YMONEY_COUNT,LAW_WMONEY_COUNT,LAW_AMOUNT_AVG,LAW_AMOUNT_AVG_YB,IS_YBDYWB,LAW_YB_RATE,LAW_WB_RATE,IS_EXIST_YB,IS_EXIST_WB
64,506400,4,4,0,126600.0,126600.0,1,1.0,0.0,1,0
71,4600,1,1,0,4600.0,4600.0,1,1.0,0.0,1,0
117,387400,2,2,0,193700.0,193700.0,1,1.0,0.0,1,0
120,2207200,4,4,0,551800.0,551800.0,1,1.0,0.0,1,0
143,3600700,5,5,0,720140.0,720140.0,1,1.0,0.0,1,0
334,5361000,5,5,0,1072200.0,1072200.0,1,1.0,0.0,1,0
439,458500,8,8,0,57312.5,57312.5,1,1.0,0.0,1,0
480,8800,2,2,0,4400.0,4400.0,1,1.0,0.0,1,0
513,16000,1,1,0,16000.0,16000.0,1,1.0,0.0,1,0
882,30000,3,3,0,10000.0,10000.0,1,1.0,0.0,1,0
925,7049200,2,2,0,3524600.0,3524600.0,1,1.0,0.0,1,0
1066,429400,11,11,0,39036.36363636364,39036.36363636364,1,1.0,0.0,1,0
1239,83400,3,3,0,27800.0,27800.0,1,1.0,0.0,1,0
1378,59600,2,2,0,29800.0,29800.0,1,1.0,0.0,1,0
1402,40000,1,1,0,40000.0,40000.0,1,1.0,0.0,1,0
1445,3016100,1,1,0,3016100.0,3016100.0,1,1.0,0.0,1,0
1479,2200,1,1,0,2200.0,2200.0,1,1.0,0.0,1,0
1612,27504400,4,4,0,6876100.0,6876100.0,1,1.0,0.0,1,0
1683,88200,7,7,0,12600.0,12600.0,1,1.0,0.0,1,0
1793,150000,18,18,0,8333.333333333334,8333.333333333334,1,1.0,0.0,1,0
1893,48600,2,2,0,24300.0,24300.0,1,1.0,0.0,1,0
1961,3980600,6,6,0,663433.3333333334,663433.3333333334,1,1.0,0.0,1,0
1984,958200,13,13,0,73707.69230769231,73707.69230769231,1,1.0,0.0,1,0
2013,221524600,4,4,0,55381150.0,55381150.0,1,1.0,0.0,1,0
2157,21000,2,2,0,10500.0,10500.0,1,1.0,0.0,1,0
2183,34000000,1,1,0,34000000.0,34000000.0,1,1.0,0.0,1,0
2266,97300,5,5,0,19460.0,19460.0,1,1.0,0.0,1,0
2269,36000,1,1,0,36000.0,36000.0,1,1.0,0.0,1,0
2336,385900,2,2,0,192950.0,192950.0,1,1.0,0.0,1,0
2430,369800,2,2,0,184900.0,184900.0,1,1.0,0.0,1,0
2618,10111600,16,16,0,631975.0,631975.0,1,1.0,0.0,1,0
2674,223400,2,2,0,111700.0,111700.0,1,1.0,0.0,1,0
2746,47317500,4,4,0,11829375.0,11829375.0,1,1.0,0.0,1,0
2797,276600,5,2,3,55320.0,138300.0,0,0.4,0.6,1,1
2940,969000,2,2,0,484500.0,484500.0,1,1.0,0.0,1,0
2990,36200,2,2,0,18100.0,18100.0,1,1.0,0.0,1,0
3134,5700,1,1,0,5700.0,5700.0,1,1.0,0.0,1,0
3278,24100,1,1,0,24100.0,24100.0,1,1.0,0.0,1,0
3367,361400,6,6,0,60233.333333333336,60233.333333333336,1,1.0,0.0,1,0
3385,0,1,0,1,0.0,,0,0.0,1.0,0,1
3488,72100,3,3,0,24033.333333333332,24033.333333333332,1,1.0,0.0,1,0
3615,127600,1,1,0,127600.0,127600.0,1,1.0,0.0,1,0
3628,59198200,2,2,0,29599100.0,29599100.0,1,1.0,0.0,1,0
3702,107200,1,1,0,107200.0,107200.0,1,1.0,0.0,1,0
3812,65000,3,3,0,21666.666666666668,21666.666666666668,1,1.0,0.0,1,0
3854,189700,6,6,0,31616.666666666668,31616.666666666668,1,1.0,0.0,1,0
4046,101100,1,1,0,101100.0,101100.0,1,1.0,0.0,1,0
4164,55200,1,1,0,55200.0,55200.0,1,1.0,0.0,1,0
4207,63300,3,3,0,21100.0,21100.0,1,1.0,0.0,1,0
4254,218981100,62,62,0,3531953.2258064514,3531953.2258064514,1,1.0,0.0,1,0
4442,1789719400,13,13,0,137670723.07692307,137670723.07692307,1,1.0,0.0,1,0
4583,190600,2,2,0,95300.0,95300.0,1,1.0,0.0,1,0
4626,8000,3,3,0,2666.6666666666665,2666.6666666666665,1,1.0,0.0,1,0
