EID,LSCOUNT,LAWAMOUNT
64,4,506400
71,1,4600
117,2,387400
120,4,2207200
143,5,3600700
334,5,5361000
439,8,458500
480,2,8800
513,1,16000
882,3,30000
925,2,7049200
1066,11,429400
1239,3,83400
1378,2,59600
1402,1,40000
1445,1,3016100
1479,1,2200
1612,4,27504400
1683,7,88200
1793,18,150000
1893,2,48600
1961,6,3980600
1984,13,958200
2013,4,221524600
2157,2,21000
2183,1,34000000
2266,5,97300
2269,1,36000
2336,2,385900
2430,2,369800
2618,16,10111600
2674,2,223400
2746,4,47317500
2797,5,276600
2940,2,969000
2990,2,36200
3134,1,5700
3278,1,24100
3367,6,361400
3385,1,0
3488,3,72100
3615,1,127600
3628,2,59198200
3702,1,107200
3812,3,65000
3854,6,189700
4046,1,101100
4164,1,55200
4207,3,63300
4254,62,218981100
4442,13,1789719400
4583,2,190600
4626,3,8000
4672,1,335900
4794,1,7300
4921,4,68300
4952,1,59400
5046,1,56200
5113,4,360500
5176,2,88400
5407,1,101200
5600,1,90000
5618,2,30200
5631,1,23600
5642,1,602200
5865,1,70000
5969,1,0
5986,5,2583900
6247,1,14000
6281,3,30600
6455,1,172400
6525,1,342600
6540,3,49200
6591,1,45000
6692,1,626700
6694,1,3000
6720,1,15000
6758,3,13233000
7154,3,7232100
7226,9,2783700
7339,1,19200
7421,2,279000
7544,3,1654300
7668,1,45900
7819,2,67800
8147,1,710000
8250,2,1310000
8276,1,112400
8717,1,0
8889,2,200000
8964,4,131300
9324,20,23924300
9734,12,1472600
9849,10,8401100
10292,8,610200
10303,3,72400
10450,1,8500
10644,1,90000
10695,1,670400
10751,2,258500
10828,1,59400
10917,15,8549900
10961,3,153300
11029,3,454800
11072,1,0
11120,2,12800
11175,1,880900
11285,1,2265300
11291,1,3100
11305,5,446200
11399,4,30700
11659,1,144100
11798,3,21800
11848,9,53600
11928,1,6000
12073,5,137100
12098,2,63200
12127,4,21000
12130,2,949800
12168,2,82200
12173,1,901900
12255,4,129000
12278,1,80000
12322,1,500
12515,1,928300
12660,1,0
12845,3,6335400
12883,1,86700
12924,1,0
13187,1,239600
13196,3,50400
13235,2,54200
13339,1,800
13431,3,239600
13487,8,18786000
13566,2,6063600
13853,2,56000
13976,4,209300
14078,2,1736000
14404,14,67476600
14523,6,670800
14804,2,576800
14908,1,32300
14959,3,9117000
15057,3,29400
15074,3,31200
15447,2,13400
15583,2,4917200
15733,5,345100
15759,5,1101100
16035,1,8686900
16103,2,404600
16185,2,69200
16192,1,556300
16284,2,58100
16289,3,61500
16345,2,11000
16453,5,15200
16494,1,500
16510,3,2160600
16523,1,514100
17131,1,186000
17154,2,120600
17167,3,5064600
17297,1,4200
17358,2,22600
17376,2,135600
17607,1,16200
17641,60,801400
17709,2,1793000
17860,3,177900
17866,1,258000
17922,2,333000
17998,3,1163800
18124,1,185300
18246,4,28800
18282,2,40000
18743,3,28600
18781,3,363000
18909,3,33900
18937,8,183400
19096,4,24200
19112,2,221900
19225,3,4082400
19238,5,44400
19284,1,4500
19309,3,313800
19383,1,872300
19388,1,5400
19463,2,305000
19611,1,2069600
19744,2,172200
19807,1,7000
19837,2,68200
19890,6,31120000
20079,2,13600
20476,1,15100
20490,1,0
20724,3,18054900
20747,2,42800
20752,1,12800
20811,1,24200
20866,2,551200
20867,2,6000
20895,3,69200
20975,2,54800
21033,1,12600
21200,1,2100
21269,4,1798800
21391,1,3186300
21397,2,293500
21651,3,556600
21743,1,13300
21847,1,22000
21851,2,39600
21987,2,396400
22008,3,94200
22020,3,448300
22048,1,277700
22225,1,200
22341,1,2238200
22541,9,663300
22781,5,207900
22981,5,596900
23309,2,24400
23315,2,262200
23470,5,2138400
23474,1,5000
23582,1,0
23689,1,74200
23716,1,11447200
23742,1,3400
23768,14,1908600
23918,2,212400
24132,4,433600
24205,2,60200
24274,2,469900
24321,2,174800
24401,1,30814700
24491,2,40000
24691,2,77100
24812,5,62500
24823,2,741600
24827,1,351300
24839,3,17000
24935,599,44761900
25038,1,45000
25058,5,1378000
25098,1,9000
25103,1,19100
25515,1,39700
25752,2,10400
25906,1,84000
25952,1,2452700
25965,1,17914000
26187,3,24212800
26189,2,0
26304,1,4500
26346,1,1000
26348,1,10000
26459,3,83700
26517,6,609000
26642,1,187700
26743,2,2433400
26844,2,214200
26860,1,255100
27004,1,13100
27029,4,659100
27163,1,6300
27207,1,19100
27214,3,0
27372,1,20800
27497,2,341500
27807,2,5600
27864,19,605500
27999,1,10000
28103,1,30600
28123,1,227800
28197,1,25000
28204,4,33600
28368,3,1555700
28446,8,1432600
28471,2,166400
28600,3,16955400
28724,5,137000
28744,1,716700
28754,4,16040400
28782,8,6425600
28833,519,68169900
29041,8,2362100
29114,1,8600
29135,2,8000
29138,4,227100
29177,2,260400
29240,3,177500
29272,5,227000
29343,3,8500
29399,9,5681600
29438,3,60000
29470,2,7000
29512,3,14400
29544,23,118200
29604,45,13610700
29650,4,0
29966,1,87000
30022,1,26400
30023,3,51200
30056,2,10200
30150,1,341400
30283,6,1974100
30294,2,1920000
30365,8,18736400
30452,1,9500
30460,2,15000
30495,1,2005700
30680,8,203900
30792,1,283300
30862,15,19596700
30960,1,23400
31078,6,404100
31275,21,755600
31401,1,536500
31427,4,1098100
31513,1,7318400
31614,2,2028800
31721,2,78800
31797,1,12000
31888,2,37700
31905,4,97142400
32299,2,484000
32352,4,10100
32476,1,123200
32496,1,9300
32572,6,128800
32877,1,7500
32893,2,540200
32939,1,2400
33005,2,28600
33036,1,21100
33258,2,50889800
33285,1,105800
33409,1,426800
33412,4,4839600
33469,67,362200
33550,1,389200
33569,1,70000
33606,3,874200
33640,2,215800
33746,1,2600
33770,1,10000
33950,3,422200
34059,5,17900
34077,3,54200
34083,3,384300
34126,1,1000000
34150,4,7600
34321,1,20000
34333,3,0
34377,1,494600
34469,2,3570900
34546,3,77900
34554,1,24600
34609,1,17800
34895,1,1500
34924,1,2200
34957,33,285400
34979,2,3400
35018,1,0
35077,1,125700
35133,1,0
35488,1,52400
35694,4,284900
35767,2,25800
35837,3,2490000
35863,6,152100
35866,1,27400
35963,1,38000
36172,6,37418000
36330,1,1500
36390,1,8600
36518,28,845000
36540,1,68600
36582,1,567800
36598,2,317200
36654,4,71200
37196,1,55600
37369,2,2812200
37385,2,205000
37522,2,32000
37542,48,6047800
37710,9,85500
37946,1,33300
37968,8,6707500
37972,1,20200
37997,13,12230500
38114,1,55000
38154,12,1409700
38316,2,1100000
38419,6,300400
38431,6,39300
38611,7,153600
38656,2,23800
38673,1,9100
38685,3,20100
38697,1,1543900
38709,36,497000
38752,1,10000
38904,2,31200
39060,2,339000
39076,2,256000
39084,1,127900
39159,1,112100
39228,11,6856700
39302,4,28930400
39313,10,12611000
39521,2,513800
39623,3,1894800
39647,2,218200
39679,3,8214000
39714,2,399600
39779,3,24000
39822,2,21000
39863,1,73800
39909,1,1625600
39927,3,89400
40094,3,2765700
40121,1,117400
40237,3,93300
40396,1,6555100
40410,1,8100
40508,2,200
40720,1,11900
40846,3,1866600
40975,1,11800
41037,1,640000
41105,21,1566300
41197,2,240000000
41275,1,13800
41314,3,6000000
41320,11,1232500
41403,2,16900
41591,3,701000
41595,26,333300
41597,4,872900
41757,3,555500
41775,2,18100
41816,2,0
41865,4,235600
41901,1,501500
41913,2,223000
41933,2,19800
42011,2,400
42051,75,4213600
42201,1,34600
42215,78,18467800
42315,8,83500
42517,89,48586700
42569,4,171300
42583,2,1105000
42714,1,123300
42716,1,130000
42832,2,437000
42856,2,1623600
43045,2,306200
43073,2,2200
43105,3,4093100
43217,1,9700
43260,1,3260800
43262,1,44400
43276,1,331300
43292,3,2739000
43586,8,71300
43594,2,404400
43725,1,17800
43746,4,1710700
43748,2,82100400
44017,1,5200
44050,2,955400
44082,1,202700
44087,3,6373600
44117,1,27300
44295,3,100200
44302,1,23600
44329,1,30400
44373,3,900000
44547,1,917800
44677,1,30000
44867,1,13000
44906,2,1973200
44912,1,48200
44943,2,124400
44964,6,425600
45027,1,3700
45118,2,2290500
45136,1,499200
45143,2,39100
45211,2,156000
45255,2,66251000
45288,1,52000
45413,2,409800
45522,1,247200
45774,1,0
45901,6,34500
46169,1,81600
46353,2,12000
46361,1,21600
46412,1,1085100
46418,2,9700
46484,1,50500
46568,6,0
46592,1,337000
47144,1,0
47215,2,121200
47243,1,50500
47393,1,11500
47440,18,137200
47450,2,91200
47451,3,804900
47516,4,8100
47697,1,4500
47855,6,58500
48025,1,65400
48156,1,1400000
48239,2,7200
48407,1,1800
48449,2,107800
48506,181,159467400
48540,1,27200
48595,1,4100
48601,1,71600
48611,1,4200
48629,2,25400
48633,2,2600
48718,2,2500
48719,1,442400
48735,14,828800
