EID,BF_COUNT,BF_END,BF_IN,IS_EXIST_INBF,IS_INDYEND,BF_END_RATE,BF_IN_RATE
334,2,0,2,1,1,0.0,1.0
882,1,0,1,1,1,0.0,1.0
1152,1,0,1,1,1,0.0,1.0
1239,2,0,2,1,1,0.0,1.0
1445,1,0,1,1,1,0.0,1.0
1783,2,0,2,1,1,0.0,1.0
2157,2,0,2,1,1,0.0,1.0
2618,27,0,27,1,1,0.0,1.0
2940,2,0,2,1,1,0.0,1.0
3488,2,0,2,1,1,0.0,1.0
3615,1,0,1,1,1,0.0,1.0
4026,2,0,2,1,1,0.0,1.0
4164,2,0,2,1,1,0.0,1.0
4207,1,1,0,0,0,1.0,0.0
5407,2,0,2,1,1,0.0,1.0
5631,2,0,2,1,1,0.0,1.0
6103,2,0,2,1,1,0.0,1.0
6525,2,0,2,1,1,0.0,1.0
6758,3,0,3,1,1,0.0,1.0
8889,2,0,2,1,1,0.0,1.0
9216,2,0,2,1,1,0.0,1.0
10691,2,0,2,1,1,0.0,1.0
10695,2,0,2,1,1,0.0,1.0
10751,4,0,4,1,1,0.0,1.0
11305,2,0,2,1,1,0.0,1.0
11705,2,0,2,1,1,0.0,1.0
12255,2,0,2,1,1,0.0,1.0
12489,2,0,2,1,1,0.0,1.0
13487,2,0,2,1,1,0.0,1.0
13905,4,4,0,0,0,1.0,0.0
15074,1,1,0,0,0,1.0,0.0
16523,2,0,2,1,1,0.0,1.0
16905,3,0,3,1,1,0.0,1.0
17131,2,0,2,1,1,0.0,1.0
17866,2,0,2,1,1,0.0,1.0
17998,2,0,2,1,1,0.0,1.0
18124,1,0,1,1,1,0.0,1.0
19383,2,0,2,1,1,0.0,1.0
19744,4,0,4,1,1,0.0,1.0
19890,5,0,5,1,1,0.0,1.0
20724,5,0,5,1,1,0.0,1.0
20752,1,0,1,1,1,0.0,1.0
20895,2,0,2,1,1,0.0,1.0
21269,4,0,4,1,1,0.0,1.0
21361,2,0,2,1,1,0.0,1.0
21987,2,0,2,1,1,0.0,1.0
22008,1,0,1,1,1,0.0,1.0
22163,1,1,0,0,0,1.0,0.0
22981,2,0,2,1,1,0.0,1.0
23299,1,0,1,1,1,0.0,1.0
23768,2,0,2,1,1,0.0,1.0
24132,4,0,4,1,1,0.0,1.0
24602,1,0,1,1,1,0.0,1.0
24827,2,0,2,1,1,0.0,1.0
24935,2,0,2,1,1,0.0,1.0
26187,2,0,2,1,1,0.0,1.0
26326,1,1,0,0,0,1.0,0.0
26517,1,0,1,1,1,0.0,1.0
26642,2,0,2,1,1,0.0,1.0
26743,2,0,2,1,1,0.0,1.0
26860,1,0,1,1,1,0.0,1.0
27004,2,0,2,1,1,0.0,1.0
27029,2,0,2,1,1,0.0,1.0
27490,1,0,1,1,1,0.0,1.0
27864,2,0,2,1,1,0.0,1.0
28204,2,0,2,1,1,0.0,1.0
28600,2,0,2,1,1,0.0,1.0
28833,1,0,1,1,1,0.0,1.0
29041,2,0,2,1,1,0.0,1.0
29240,2,0,2,1,1,0.0,1.0
29544,2,0,2,1,1,0.0,1.0
29604,4,0,4,1,1,0.0,1.0
30022,2,0,2,1,1,0.0,1.0
31043,12,0,12,1,1,0.0,1.0
31275,1,0,1,1,1,0.0,1.0
32532,2,0,2,1,1,0.0,1.0
32572,1,0,1,1,1,0.0,1.0
32789,2,0,2,1,1,0.0,1.0
33606,2,0,2,1,1,0.0,1.0
33746,2,0,2,1,1,0.0,1.0
34059,2,0,2,1,1,0.0,1.0
34077,2,0,2,1,1,0.0,1.0
34083,2,2,0,0,0,1.0,0.0
34161,2,0,2,1,1,0.0,1.0
34979,5,0,5,1,1,0.0,1.0
35863,2,0,2,1,1,0.0,1.0
35866,2,0,2,1,1,0.0,1.0
36486,2,0,2,1,1,0.0,1.0
36504,16,0,16,1,1,0.0,1.0
37145,2,0,2,1,1,0.0,1.0
37196,2,0,2,1,1,0.0,1.0
38709,9,0,9,1,1,0.0,1.0
39647,1,0,1,1,1,0.0,1.0
39679,1,0,1,1,1,0.0,1.0
39909,2,0,2,1,1,0.0,1.0
40040,2,0,2,1,1,0.0,1.0
40846,2,0,2,1,1,0.0,1.0
41037,3,0,3,1,1,0.0,1.0
41320,4,0,4,1,1,0.0,1.0
41757,4,0,4,1,1,0.0,1.0
41865,2,0,2,1,1,0.0,1.0
42051,4,0,4,1,1,0.0,1.0
42201,1,0,1,1,1,0.0,1.0
42215,13,3,10,1,1,0.23076923076923078,0.7692307692307693
42517,9,0,9,1,1,0.0,1.0
42569,2,0,2,1,1,0.0,1.0
42716,2,0,2,1,1,0.0,1.0
