EID,FBCOUNT,FBEND
334,2,
882,1,
1152,1,
1239,2,
1445,1,
1783,2,
2157,2,
2618,27,
2940,2,
3488,2,
3615,1,
4026,2,
4164,2,
4207,1,1
5407,2,
5631,2,
6103,2,
6525,2,
6758,3,
8889,2,
9216,2,
10691,2,
10695,2,
10751,4,
11305,2,
11705,2,
12255,2,
12489,2,
13487,2,
13905,4,4
15074,1,1
16523,2,
16905,3,
17131,2,
17866,2,
17998,2,
18124,1,
19383,2,
19744,4,
19890,5,
20724,5,
20752,1,
20895,2,
21269,4,
21361,2,
21987,2,
22008,1,
22163,1,1
22981,2,
23299,1,
23768,2,
24132,4,
24602,1,
24827,2,
24935,2,
26187,2,
26326,1,1
26517,1,
26642,2,
26743,2,
26860,1,
27004,2,
27029,2,
27490,1,
27864,2,
28204,2,
28600,2,
28833,1,
29041,2,
29240,2,
29544,2,
29604,4,
30022,2,
31043,12,
31275,1,
32532,2,
32572,1,
32789,2,
33606,2,
33746,2,
34059,2,
34077,2,
34083,2,2
34161,2,
34979,5,
35863,2,
35866,2,
36486,2,
36504,16,
37145,2,
37196,2,
38709,9,
39647,1,
39679,1,
39909,2,
40040,2,
40846,2,
41037,3,
41320,4,
41757,4,
41865,2,
42051,4,
42201,1,
42215,13,3
42517,9,
42569,2,
42716,2,
42832,2,
42856,3,
43204,1,
43586,1,
43594,2,
44082,1,
44087,2,
44295,2,
44906,2,
44912,1,
44964,2,
45070,1,1
45143,2,
46484,2,
48025,2,
48156,1,
48506,4,
48601,2,
48629,1,
48719,2,
48835,2,
48897,4,
49426,2,
49578,4,
49675,3,
50133,3,
51030,2,
52079,2,
52677,2,
53098,1,
53693,11,
54693,2,
55480,2,
55641,2,
55821,4,
55822,2,
55829,2,
56117,2,
56355,1,
57705,1,
57737,2,
57782,1,
58140,4,
58737,3,
58978,3,
59519,12,
60010,2,
60205,2,
60263,2,
60502,1,
60605,2,
61245,1,
61800,1,
61990,2,
62360,2,
62475,1,
62561,2,
62678,2,
63080,2,
63205,2,
63670,2,
63680,14,
64375,2,
65028,10,
65159,4,
65379,2,
65659,1,
65950,2,
66085,2,
66454,35,
66804,16,
66843,4,
66856,2,
67070,2,
67697,2,
68006,2,
68121,2,
68591,1,
69343,1,
69522,2,
70730,2,
70924,2,
70969,2,
71306,1,
72738,2,
72976,33,
73069,2,
73160,7,
73162,2,
74469,2,
74982,1,
75459,1,
76819,4,
77103,2,
77116,2,
77722,1,
77777,2,
77921,2,
78017,1,
78343,1,
78595,2,
78604,2,
78615,2,
79149,3,
79175,2,
80254,2,
80480,4,
80622,2,
80938,2,
81064,1,
81653,4,
81975,1,
82125,2,
82164,2,
82240,4,
82434,2,
82759,8,
84702,6,
84942,4,
85285,1,
85526,1,
86139,2,
86250,1,1
86269,1,1
86476,1,
86729,2,
87086,2,
87339,2,
87353,8,
88034,2,
88198,2,
88607,2,
88654,2,
90737,1,
90869,2,
90909,2,
91227,1,
91356,2,
91361,2,
91522,9,
91804,2,
91810,2,
92527,1,
92547,2,
92725,4,
93340,2,
93417,4,
93620,1,
94577,2,
95075,2,2
95095,2,
95530,1,
95668,2,
96503,2,
97281,2,
97461,2,
97535,1,
97758,1,
98864,1,
99004,2,
99585,4,
99785,1,1
99856,4,
100316,2,
100423,2,
100884,2,
100938,1,
101325,1,
101347,2,
101558,2,
102327,2,
102558,2,
102700,6,
103731,2,
103918,1,
104109,2,
105248,2,
105294,1,1
105978,3,
106052,2,
106128,1,
106657,1,1
106970,1,
107313,2,
109733,1,
110163,2,
111275,2,
111351,2,
111655,2,
111848,4,
112192,2,
112669,2,
112695,2,
113324,1,
113907,6,
113951,2,
114018,2,
114585,2,
114696,2,
114862,18,
115213,4,
115351,1,
115857,1,1
116003,1,
116343,2,
116712,2,
117465,4,
117738,2,
117899,1,
118231,2,
118720,2,
119119,4,
119474,4,
119860,2,
121299,2,
121661,5,
121754,6,
123063,2,
124521,2,
124641,1,
125186,2,
125588,2,
126528,2,
127097,31,
127476,4,
127808,7,
128128,2,
128829,2,
129447,2,
129674,2,
129813,1,
130091,2,
130430,1,
130905,1,1
131698,4,
132141,1,1
132185,4,
132587,2,
132697,2,
133259,2,
133689,1,
133873,1,
133901,2,
134238,2,
134608,2,
135158,2,
135209,1,
135747,4,
135844,2,
135845,4,
136020,1,
136146,2,
136893,2,
137119,2,
137969,2,
138364,4,
138378,7,
138409,20,
138434,2,
139252,2,
139816,4,
140078,1,
140255,1,
140504,2,
141467,1,
141703,1,
141947,2,
142224,3,
142392,2,
143026,3,
143878,5,
144254,2,
144321,2,1
144404,1,1
145534,2,
145588,2,
146916,2,
147482,1,1
147501,9,
148111,2,
148344,2,
148529,2,
148559,2,
148648,2,
148765,2,
148931,2,
150932,2,
151124,4,
151140,2,
151191,2,
151262,1,1
151440,4,
151873,2,
152159,19,
153074,1,
153257,1,
153936,2,
154574,11,
154752,2,
154965,1,
156311,2,
156884,2,
157007,2,
157773,2,
157843,2,
158057,2,
158606,2,
158892,2,1
159562,2,
159685,4,
160781,3,
160961,1,1
161098,2,
161437,10,1
161705,5,
161976,1,
162374,4,
163587,9,
163612,2,
163770,2,
163917,2,
164533,1,
164796,2,
164881,2,
165079,8,
165092,2,
165494,2,
165576,1,
166080,2,
167082,2,
167410,2,
167844,1,
168133,4,
168168,4,
168440,4,
168587,2,
168679,2,
169013,2,
169310,4,
