EID,RECRNUM,IS_WZ1,IS_WZ2,IS_WZ3,WZ1_RECRNUM,WZ2_RECRNUM,WZ3_RECRNUM,WZ_COUNT,IS_RECR
15,25.0,0,1,0,0.0,25.0,0.0,1,1
20,,1,1,0,,,,2,0
64,59.0,0,0,1,0.0,0.0,59.0,1,1
117,5.0,0,0,1,0.0,0.0,5.0,1,1
132,9.0,0,0,1,0.0,0.0,9.0,1,1
135,1.0,1,0,0,1.0,0.0,0.0,1,1
143,61.0,1,1,1,23.0,13.0,25.0,3,1
177,2.0,0,1,0,0.0,2.0,0.0,1,1
180,23.0,0,1,0,0.0,23.0,0.0,1,1
182,4.0,0,0,1,0.0,0.0,4.0,1,1
194,1.0,0,0,1,0.0,0.0,1.0,1,1
198,13.0,0,1,1,0.0,7.0,6.0,2,1
202,4.0,0,1,0,0.0,4.0,0.0,1,1
215,28.0,0,0,1,0.0,0.0,28.0,1,1
219,,0,1,0,,,,1,0
246,1.0,0,1,0,0.0,1.0,0.0,1,1
304,6.0,0,0,1,0.0,0.0,6.0,1,1
319,3.0,1,0,0,3.0,0.0,0.0,1,1
374,269.0,0,1,1,0.0,264.0,5.0,2,1
411,2.0,0,0,1,0.0,0.0,2.0,1,1
457,15.0,0,0,1,0.0,0.0,15.0,1,1
480,2.0,0,1,0,0.0,2.0,0.0,1,1
528,5.0,0,1,0,0.0,5.0,0.0,1,1
530,,1,0,0,,,,1,0
532,15.0,1,1,1,5.0,5.0,5.0,3,1
534,87.0,0,1,0,0.0,87.0,0.0,1,1
541,5.0,0,1,0,0.0,5.0,0.0,1,1
543,8.0,0,0,1,0.0,0.0,8.0,1,1
641,1.0,1,0,0,1.0,0.0,0.0,1,1
703,9.0,0,1,0,0.0,9.0,0.0,1,1
711,3.0,0,1,0,0.0,3.0,0.0,1,1
714,14.0,0,1,0,0.0,14.0,0.0,1,1
731,,0,0,1,,,,1,0
789,3.0,0,1,0,0.0,3.0,0.0,1,1
809,2.0,1,1,0,1.0,1.0,0.0,2,1
814,2.0,0,1,0,0.0,2.0,0.0,1,1
821,,0,1,0,,,,1,0
834,,0,0,1,,,,1,0
882,11.0,1,1,1,0.0,0.0,11.0,3,1
899,1.0,0,0,1,0.0,0.0,1.0,1,1
925,12.0,0,1,0,0.0,12.0,0.0,1,1
1021,50.0,0,1,1,0.0,25.0,25.0,2,1
1026,9.0,0,0,1,0.0,0.0,9.0,1,1
1052,19.0,0,1,1,0.0,13.0,6.0,2,1
1057,3.0,0,0,1,0.0,0.0,3.0,1,1
1062,,0,1,0,,,,1,0
1066,68.0,1,1,0,0.0,68.0,0.0,2,1
1071,13.0,0,1,1,0.0,8.0,5.0,2,1
1094,13.0,0,1,0,0.0,13.0,0.0,1,1
1138,21.0,0,1,0,0.0,21.0,0.0,1,1
1171,6.0,0,1,1,0.0,3.0,3.0,2,1
1178,1.0,0,1,0,0.0,1.0,0.0,1,1
1192,,1,0,0,,,,1,0
1207,182.0,1,1,0,0.0,182.0,0.0,2,1
