EID,WZCODE,RECRNUM
15,1,1
20,2,
64,1,1
117,1,1
132,1,1
135,1,1
143,3,3
177,1,1
180,1,1
182,1,1
194,1,1
198,2,2
202,1,1
215,1,1
219,1,
246,1,1
304,1,1
319,1,1
374,2,2
411,1,1
457,1,1
480,1,1
528,1,1
530,1,
532,3,3
534,1,1
541,1,1
543,1,1
641,1,1
703,1,1
711,1,1
714,1,1
731,1,
789,1,1
809,2,2
814,1,1
821,1,
834,1,
882,3,1
899,1,1
925,1,1
1021,2,2
1026,1,1
1052,2,2
1057,1,1
1062,1,
1066,2,1
1071,2,2
1094,1,1
1138,1,1
1171,2,2
1178,1,1
1192,1,
1207,2,1
1242,3,3
1270,1,
1283,1,
1304,1,
1332,2,
1362,1,
1373,3,2
1377,2,1
1382,1,1
1424,1,1
1465,2,2
1475,1,1
1479,1,
1489,2,1
1513,1,1
1536,1,1
1594,2,2
1611,2,
1618,1,1
1681,2,2
1683,1,
1693,1,
1700,2,1
1707,1,1
1759,1,1
1778,2,1
1799,3,1
1803,2,1
1834,1,1
1885,1,
1887,1,
1904,2,2
1909,2,2
1919,2,2
1949,1,1
1960,1,1
1964,1,1
1976,2,1
1989,1,1
2046,1,1
2076,1,1
2084,1,1
2102,1,1
2123,2,2
2169,1,1
2188,1,
2266,1,1
2323,1,1
2332,3,3
2338,1,1
2347,2,2
2381,1,1
2452,1,1
2468,2,1
2472,1,1
2477,1,1
2480,1,1
2500,2,2
2509,1,1
2511,2,2
2568,1,1
2575,1,1
2618,1,1
2621,1,1
2629,1,1
2655,1,
2656,1,1
2677,1,
2679,1,1
2733,1,1
2783,2,2
2793,1,1
2816,1,1
2821,1,1
2843,1,1
2858,1,1
2954,1,1
2956,1,1
2957,2,2
2990,1,1
3010,1,1
3027,3,3
3028,2,
3049,1,1
3055,2,1
3069,1,
3137,3,
3144,2,1
3154,1,
3159,2,2
3220,2,1
3244,1,1
3258,1,1
3269,2,1
3274,1,
3300,2,2
3301,1,1
3324,3,2
3342,1,1
3377,1,1
3424,1,1
3426,1,
3440,1,1
3472,3,2
3494,2,1
3495,2,1
3497,1,1
3524,1,
3529,1,1
3531,1,1
3553,1,1
3557,1,1
3588,1,
3624,2,1
3634,3,3
3649,2,
3690,1,
3702,2,1
3728,2,2
3744,2,1
3749,2,2
3753,2,
3754,1,1
3768,1,
3783,2,1
3804,3,2
3876,3,2
3913,2,2
4011,3,3
4031,2,2
4041,2,2
4046,1,1
4081,1,1
4135,1,1
4140,1,1
4154,1,1
4170,1,
4253,3,2
4261,1,1
4308,1,1
4320,1,1
4326,2,2
4417,2,2
4433,3,3
4439,2,2
4478,2,2
4486,2,2
4503,2,2
4569,1,
4583,3,2
4595,1,1
4601,1,1
4644,2,2
4647,1,1
4650,1,1
4741,2,2
4788,1,1
4794,3,3
4796,1,
4802,1,1
4811,3,2
4828,2,2
4843,1,1
4850,1,1
4863,2,1
4868,2,2
4877,2,1
4939,1,
4950,1,1
4986,2,2
5010,1,1
5017,1,1
5077,1,1
5092,2,1
5167,3,3
5183,1,1
5263,1,1
5264,2,2
5272,2,2
5289,1,
5292,1,1
5310,1,
5323,1,1
5342,1,1
5356,2,2
5521,3,2
5552,1,
5585,1,1
5619,1,1
5625,2,2
5631,1,
5687,1,1
5697,1,1
5719,1,
5723,2,1
5725,1,1
5795,2,2
5797,1,1
5814,1,1
5835,1,1
5891,1,1
5931,1,1
5954,1,
5977,2,2
5978,1,1
5986,1,1
6014,1,1
6023,2,1
6036,1,1
6058,1,1
6068,1,1
6070,1,
6071,1,1
6076,2,2
6100,2,2
6102,2,1
6121,1,1
6122,2,2
6134,1,
6141,1,1
6165,3,2
6170,2,2
6184,1,
6190,1,
6217,2,2
6247,1,1
6248,1,1
6273,2,2
6281,1,1
6303,2,
6325,1,1
6357,1,1
6376,1,
6402,1,
6452,1,1
6454,1,1
6586,1,1
6587,1,1
6591,3,2
6609,3,2
6626,1,1
6691,2,2
6692,1,1
6747,1,1
6750,2,
6769,1,1
6796,3,3
6809,1,
6824,3,2
6828,1,1
6846,2,2
6870,3,3
6892,1,1
6918,1,1
6953,2,2
6964,1,1
6965,2,2
7004,2,2
7020,1,
7021,1,1
7044,1,1
7053,1,1
7086,1,1
7093,1,1
7097,1,1
7216,1,
7221,2,2
7273,1,
7310,1,1
7340,2,2
7345,3,2
7350,2,1
7367,1,1
7381,3,3
7401,1,1
7416,2,1
7477,3,3
7479,2,1
7481,1,1
7543,1,1
7596,1,1
7599,2,2
7601,1,
7602,2,2
7617,2,2
7648,2,1
7660,1,1
7664,2,1
7670,1,1
7708,1,1
7709,1,1
7742,1,1
7746,1,1
7748,2,2
7769,3,2
7798,1,1
7805,1,1
7814,2,2
7818,2,2
7867,1,1
7882,1,1
7918,1,
7939,3,1
7965,1,1
7982,2,2
7991,1,1
8035,2,1
8042,1,
8043,1,1
8074,1,1
8090,1,
8099,2,1
8101,2,2
8102,2,2
8123,2,2
8148,2,1
8185,1,1
8203,1,1
8317,2,2
8323,2,2
8329,1,1
8413,1,1
8421,2,
8427,1,1
8461,1,1
8475,1,1
8512,1,1
8545,1,1
8562,1,
8685,2,1
8689,1,1
8695,1,1
8705,1,1
8717,2,1
8753,1,1
8768,1,1
8793,1,
8799,1,1
8842,1,1
8866,1,1
8909,2,2
9007,1,1
9016,3,2
9043,1,1
9058,1,
9112,2,1
9233,1,1
9244,1,1
9308,1,1
9325,1,1
9394,2,1
9427,1,1
9441,1,
9464,1,
9474,1,1
9477,1,1
9559,2,1
9587,2,2
9613,1,1
9620,2,2
9640,1,1
9650,1,1
9674,1,1
9680,2,2
9753,1,1
9794,2,2
9833,1,
9871,1,1
9900,1,1
9903,1,1
9937,1,1
9954,1,1
9983,2,1
9988,1,1
9995,1,1
10001,1,1
10022,2,2
10034,3,1
10051,1,1
10076,1,1
10126,1,1
10164,2,2
10211,2,1
10217,2,1
10226,1,1
10229,1,1
10249,3,3
10297,2,2
10303,2,2
10367,1,1
10399,1,1
10401,2,2
10422,1,1
10427,1,1
10450,2,2
10486,1,1
10490,1,1
10498,2,2
10553,1,
10566,2,2
10575,2,1
10580,1,1
10595,1,
10601,1,1
10619,2,2
10650,2,2
10683,1,1
10690,1,1
10712,3,3
10747,2,2
10813,1,1
10815,2,2
10820,1,1
10860,2,2
10896,1,
10899,1,1
10905,1,1
10947,2,2
10949,1,1
10967,3,2
10986,2,1
11002,1,1
11029,2,2
11054,1,1
11055,1,
11086,1,1
11109,1,1
11144,1,1
11151,1,
11168,2,2
11199,2,2
11218,2,2
11221,1,1
11260,2,2
11282,1,1
11285,1,1
11288,1,1
11291,1,1
11296,2,2
11370,1,1
11398,3,3
11399,3,3
11414,1,1
11461,1,
11482,2,1
11516,2,1
11575,2,1
11606,1,1
11665,1,1
11684,2,1
11693,3,1
11727,1,
11760,1,
11796,1,
11798,1,
11815,2,2
11835,1,1
11838,2,1
11843,2,1
11860,2,2
11928,1,1
11943,1,1
11956,1,1
11968,2,1
11992,1,1
12013,1,1
12017,2,1
12076,1,1
12098,1,1
12118,1,1
12123,1,1
12126,1,1
12153,1,1
12160,1,1
12213,1,
12221,3,3
12223,1,
12235,1,
12337,1,1
12348,2,2
12350,1,
12391,3,3
