EID,TYPECODE项目ID,DJDATE中标日期,IFHOME项目地是否企业登记地
3273,5523256,Jul-15,0
3649,4073327,Mar-14,1
4253,4445461,Aug-14,0
4595,3184459,Dec-13,0
4595,3214578,Dec-13,0
4595,5697433,Aug-15,0
5986,3178183,Dec-13,1
5986,4978313,Feb-15,1
5986,4163856,May-14,0
5986,4576965,Sep-14,1
5986,4597604,Sep-14,1
5986,4059347,Mar-14,1
5986,4456679,Aug-14,1
5986,5785727,Aug-15,1
5986,4969513,Jan-15,1
5986,5657630,Aug-15,1
5986,4378910,Jul-14,1
7708,4408385,Jul-14,1
7708,4285289,Jun-14,1
7708,5659151,Aug-15,1
7708,5461591,Jun-15,1
8755,3229842,Dec-13,1
8755,3979963,Jan-14,1
8755,3979956,Jan-14,1
8755,3977471,Jan-14,1
9366,4047511,Mar-14,1
10253,4689468,Nov-14,1
10253,4838571,Dec-14,1
12168,4798672,Dec-14,0
18078,3212613,Dec-13,0
18078,5450301,Jun-15,0
18078,3147049,Nov-13,1
18078,3238270,Dec-13,1
18078,3175126,Dec-13,1
18078,3176491,Dec-13,0
18078,3051600,Oct-13,1
18078,3107479,Nov-13,1
18078,3238267,Dec-13,1
18078,3012182,Sep-13,0
18078,3205187,Dec-13,0
18078,3211365,Dec-13,0
18078,2975332,Sep-13,1
18078,2986211,Sep-13,0
18078,2984858,Sep-13,1
18078,3131957,Nov-13,0
18078,3034146,Sep-13,1
18078,3186439,Dec-13,0
18078,3155461,Nov-13,0
18078,2987965,Sep-13,0
18078,3091518,Oct-13,0
18078,3018115,Sep-13,0
18078,3090719,Oct-13,1
18078,3181348,Dec-13,1
18078,3111328,Nov-13,1
18078,3011718,Sep-13,0
18078,2970973,Sep-13,1
18078,2987966,Sep-13,0
18078,3026060,Sep-13,1
18078,3010226,Sep-13,1
18078,3008376,Sep-13,0
18078,3092044,Oct-13,0
18078,3019955,Sep-13,1
18078,3094290,Oct-13,1
18078,3148091,Nov-13,0
18078,3031875,Sep-13,0
18078,3142248,Nov-13,0
18078,5224419,Apr-15,0
18078,3178534,Dec-13,0
18078,3184515,Dec-13,0
18078,3052750,Oct-13,1
18078,3228918,Dec-13,0
18078,3122823,Nov-13,1
18078,3212964,Dec-13,0
18078,3241246,Dec-13,0
18078,3107418,Nov-13,0
18078,3186407,Dec-13,1
18078,4997449,Feb-15,0
18078,3126390,Nov-13,0
18078,3222692,Dec-13,0
18078,3113039,Nov-13,1
18078,3013206,Sep-13,0
18078,3229777,Dec-13,0
18078,3231895,Dec-13,1
18078,3074757,Oct-13,1
18078,3135905,Nov-13,1
18078,3071940,Oct-13,1
18078,3125137,Nov-13,0
18078,3180545,Dec-13,0
18078,3111396,Nov-13,0
18078,2978986,Sep-13,0
18078,3020889,Sep-13,0
18078,3127926,Nov-13,1
18078,3118377,Nov-13,0
18078,3029478,Sep-13,1
18078,3095107,Nov-13,0
18078,3173062,Dec-13,0
18078,2978720,Sep-13,1
18078,3224067,Dec-13,0
18078,2980854,Sep-13,1
18078,3202248,Dec-13,0
18078,3142477,Nov-13,1
18078,3114655,Nov-13,0
18078,5633961,Jul-15,0
18078,3992166,Jan-14,0
18078,4236005,Jun-14,0
18078,3228457,Dec-13,0
18078,3182209,Dec-13,1
18078,4098612,Apr-14,0
18078,4770116,Nov-14,1
18078,4411484,Aug-14,0
18078,4497483,Aug-14,0
18078,5516866,Jul-15,1
18078,4837851,Dec-14,0
18078,5625353,Jul-15,1
18078,5372898,Jun-15,1
18078,4827633,Dec-14,1
18078,5002597,Feb-15,0
18078,5021784,Feb-15,0
18078,4784354,Nov-14,0
18078,4894636,Dec-14,1
18078,5520400,Jul-15,1
18078,5414498,Jun-15,1
18078,4846400,Dec-14,0
18078,4547927,Sep-14,0
18078,5690516,Aug-15,1
18078,4590191,Sep-14,0
18078,4308736,Jul-14,0
18078,4693198,Nov-14,0
18078,4902668,Jan-15,1
18078,5296273,May-15,0
18078,4811240,Dec-14,0
18078,4863619,Dec-14,0
18078,4867952,Dec-14,0
18078,4803093,Dec-14,0
18078,4404503,Jul-14,1
18078,4104873,Apr-14,1
18078,4388934,Jul-14,1
18078,4050252,Mar-14,0
18078,4707094,Nov-14,1
18078,5493097,Jul-15,0
18078,4997814,Feb-15,1
18078,4481243,Aug-14,1
18078,4647995,Oct-14,1
18078,4404311,Jul-14,1
18078,4857750,Dec-14,1
18078,4657685,Oct-14,0
18078,4746477,Nov-14,1
18078,4985477,Feb-15,1
18078,5516134,Jul-15,0
18078,5154094,Apr-15,1
18078,4433301,Aug-14,0
18078,4819689,Dec-14,0
18078,4056351,Mar-14,0
18078,4655032,Oct-14,1
18078,5194508,Apr-15,1
18078,5505018,Jul-15,1
18078,5368556,Jun-15,1
18078,5222299,Apr-15,0
18078,5009685,Feb-15,1
18078,4532714,Sep-14,1
18078,5393141,Jun-15,0
18078,5527252,Jul-15,1
18078,3986116,Jan-14,0
18078,4186949,May-14,0
18078,5189839,Apr-15,0
18078,4166877,May-14,0
18078,5522430,Jul-15,1
18078,4339446,Jul-14,0
18078,4331918,Jul-14,1
18078,5080809,Mar-15,1
18078,4511996,Sep-14,1
18078,5498391,Jul-15,0
18078,4007780,Jan-14,1
18078,5123254,Mar-15,1
18078,4860436,Dec-14,1
18078,4170558,May-14,0
18078,4649371,Oct-14,1
18078,4524325,Sep-14,0
18078,5593025,Jul-15,0
18078,4708935,Nov-14,1
18078,5435223,Jun-15,0
18078,4249112,Jun-14,1
18078,5444209,Jun-15,0
18078,4393262,Jul-14,1
18078,4857836,Dec-14,0
18078,5444889,Jun-15,1
18078,5066326,Mar-15,1
18078,4403790,Jul-14,0
18078,4444490,Aug-14,0
18078,4858253,Dec-14,1
18078,3990036,Jan-14,1
18078,4583185,Sep-14,0
18078,5468326,Jun-15,1
18078,5601532,Jul-15,1
18078,4754721,Nov-14,1
18078,4000619,Jan-14,0
18078,5492872,Jul-15,0
18078,5250639,Apr-15,0
18078,5542031,Jul-15,1
18078,4230186,Jun-14,1
18078,5259263,May-15,1
18078,4153911,May-14,0
18078,4879799,Dec-14,1
18078,3979242,Jan-14,0
18078,5607503,Jul-15,0
18078,4310347,Jul-14,1
18078,4302349,Jul-14,1
18078,4188937,May-14,1
18078,4031976,Feb-14,0
18078,4570603,Sep-14,0
18078,5041222,Mar-15,1
18078,5045714,Mar-15,1
18078,3996334,Jan-14,1
18078,4625331,Oct-14,0
18078,5609606,Jul-15,1
18078,5589539,Jul-15,1
18078,3984991,Jan-14,0
18078,4069520,Mar-14,1
18078,5045713,Mar-15,1
18078,5446048,Jun-15,1
18078,5263273,May-15,1
18078,4297445,Jun-14,0
18078,5365159,Jun-15,1
18078,5104754,Mar-15,1
18078,5045717,Mar-15,1
18078,4787327,Nov-14,1
18078,4879706,Dec-14,1
18078,5160422,Apr-15,0
18078,5468545,Jun-15,1
18078,5045715,Mar-15,1
18078,4069334,Mar-14,1
18078,4211990,May-14,0
18078,4307620,Jul-14,0
18078,4760264,Nov-14,1
18078,4449033,Aug-14,0
18078,4594325,Sep-14,1
18078,4180521,May-14,0
18078,4436155,Aug-14,0
18078,5764362,Aug-15,1
18078,4084987,Apr-14,1
18078,5474142,Jun-15,1
18078,5105251,Mar-15,1
18078,5533192,Jul-15,0
18078,4235654,Jun-14,1
18078,4980262,Feb-15,0
18078,4481258,Aug-14,1
18078,4269481,Jun-14,1
18078,5764038,Aug-15,1
18078,4635319,Oct-14,0
18078,4984848,Feb-15,0
18078,4360038,Jul-14,0
18078,5558301,Jul-15,0
18078,4075218,Mar-14,0
18078,4773639,Nov-14,0
18078,5676626,Aug-15,1
18078,5456147,Jun-15,1
18078,4007807,Jan-14,1
18078,4499235,Aug-14,1
18078,4312860,Jul-14,1
18078,5440785,Jun-15,1
18078,5372140,Jun-15,1
18078,5456868,Jun-15,1
18078,4561294,Sep-14,0
18078,5531874,Jul-15,0
18078,5113653,Mar-15,1
18078,4677397,Oct-14,0
18078,5483829,Jun-15,0
18078,5597354,Jul-15,0
18078,5534540,Jul-15,1
18078,4811907,Dec-14,0
18078,4248724,Jun-14,0
18078,4508182,Sep-14,0
18078,4764452,Nov-14,0
18078,4659319,Oct-14,1
18078,4838292,Dec-14,0
18078,4083956,Apr-14,0
18078,5617147,Jul-15,1
18078,4719934,Nov-14,0
18078,5396902,Jun-15,0
18078,4160494,May-14,0
18078,4860782,Dec-14,1
18078,5563513,Jul-15,1
18078,5383445,Jun-15,0
18078,5462458,Jun-15,1
18078,5165788,Apr-15,1
18078,4316855,Jul-14,1
18078,4410107,Jul-14,0
18078,4408016,Jul-14,1
18078,4831694,Dec-14,0
18078,5414397,Jun-15,1
18078,4835794,Dec-14,0
18078,5369084,Jun-15,1
18078,4145602,May-14,1
18078,4149411,May-14,0
18078,5168317,Apr-15,0
18078,5645379,Jul-15,0
18078,4581116,Sep-14,1
18078,5165782,Apr-15,1
18078,4811430,Dec-14,1
18078,4007829,Jan-14,1
18078,4495163,Aug-14,0
18078,5383547,Jun-15,0
18078,5354789,May-15,0
18078,4077026,Mar-14,0
18078,5255089,May-15,1
18078,5309645,May-15,0
18078,5496042,Jul-15,1
18078,4340811,Jul-14,1
18078,4860779,Dec-14,1
18078,5470642,Jun-15,1
18078,4362398,Jul-14,0
18078,4985256,Feb-15,1
18078,5401861,Jun-15,1
18078,4495160,Aug-14,0
18078,4691372,Nov-14,1
18078,4202388,May-14,0
18078,5264347,May-15,1
18078,4014672,Feb-14,0
18078,4860432,Dec-14,1
18078,5040851,Mar-15,1
18078,4102614,Apr-14,1
18078,5064157,Mar-15,1
18078,4305963,Jul-14,0
18078,4537553,Sep-14,1
18078,4498023,Aug-14,1
18078,4178583,May-14,1
18078,4851543,Dec-14,1
18078,4891068,Dec-14,1
18078,4132685,Apr-14,1
18078,4163406,May-14,1
18078,4080367,Apr-14,1
18078,4621498,Oct-14,1
18078,4825436,Dec-14,0
18078,5188002,Apr-15,1
18078,4813766,Dec-14,0
18078,4080370,Apr-14,1
18078,4004947,Jan-14,0
18078,4250665,Jun-14,1
18078,5637186,Jul-15,0
18078,5482613,Jun-15,0
18078,4663009,Oct-14,1
18078,5423380,Jun-15,1
18078,4925267,Jan-15,0
18078,4523759,Sep-14,1
18078,4015540,Feb-14,1
18078,4782063,Nov-14,0
18078,4743991,Nov-14,1
18078,4181067,May-14,0
18078,4717140,Nov-14,0
18078,5489008,Jun-15,0
18078,4092876,Apr-14,1
18078,4841724,Dec-14,0
18078,4447674,Aug-14,1
18078,4627555,Oct-14,0
18078,4648947,Oct-14,1
18078,4161179,May-14,1
18078,3970283,Jan-14,1
18078,5483538,Jun-15,0
18078,4569044,Sep-14,0
18078,5260142,May-15,0
18078,4495682,Aug-14,0
18078,4656933,Oct-14,0
18078,5367898,Jun-15,1
18078,4780911,Nov-14,1
18078,4359773,Jul-14,1
18078,5026912,Feb-15,0
18078,5423386,Jun-15,1
18078,5597496,Jul-15,1
18078,4468869,Aug-14,1
18078,4227390,Jun-14,1
18078,5759011,Aug-15,1
18078,4749798,Nov-14,1
18078,4907003,Jan-15,0
18078,5688969,Aug-15,1
18078,4879921,Dec-14,1
18078,4026529,Feb-14,1
18078,4700736,Nov-14,1
18078,5612985,Jul-15,0
18078,4088951,Apr-14,0
18078,5403018,Jun-15,1
18078,4392816,Jul-14,1
18078,5348049,May-15,1
18078,4297570,Jun-14,1
18078,4015499,Feb-14,1
18078,4831152,Dec-14,0
18078,5231111,Apr-15,1
18078,4933954,Jan-15,1
18078,4730070,Nov-14,0
18078,4829585,Dec-14,0
18078,4352013,Jul-14,0
18078,4661413,Oct-14,1
18078,5289183,May-15,0
18078,5493093,Jul-15,0
18078,4261537,Jun-14,0
18078,4985180,Feb-15,1
18078,4661419,Oct-14,1
18078,4481242,Aug-14,1
18078,4753309,Nov-14,1
18078,4134838,Apr-14,0
18078,4548692,Sep-14,1
18078,4420804,Aug-14,1
18078,5639112,Jul-15,0
18078,5571729,Jul-15,0
18078,4265531,Jun-14,1
18078,4694654,Nov-14,0
18078,4863802,Dec-14,0
18078,4774656,Nov-14,1
18078,4588872,Sep-14,0
18078,5704971,Aug-15,1
18078,5482882,Jun-15,1
18078,5595307,Jul-15,0
18078,5676576,Aug-15,1
18078,5192976,Apr-15,0
18078,4607928,Oct-14,0
18078,5160873,Apr-15,0
18078,4223089,Jun-14,0
18078,5354366,May-15,0
18078,4503038,Sep-14,0
18078,5156183,Apr-15,0
18078,4027060,Feb-14,0
18078,3971382,Jan-14,0
18078,4975019,Jan-15,1
18078,5351652,May-15,0
18078,5473429,Jun-15,1
18078,4985744,Feb-15,1
18078,5361774,Jun-15,0
