EID,WZCODE招聘网站代码,RECRNUM招聘职位数量,RECDATE最近一次招聘的日期
1382,ZP02,8,Aug-15
2480,ZP02,2124,Aug-15
2821,ZP03,4,Jan-15
3324,ZP02,15,Aug-15
3324,ZP03,10,Aug-15
3529,ZP03,23,Aug-15
3728,ZP02,21,Aug-15
3728,ZP03,1,Jan-15
4253,ZP01,1,Jan-15
4253,ZP03,8,Jul-15
4595,ZP02,8,Aug-15
4950,ZP02,1,May-15
5986,ZP02,116,Aug-15
6248,ZP01,7,Aug-15
7004,ZP02,13,Aug-15
7004,ZP03,3,Aug-15
7708,ZP02,8,Aug-15
9900,ZP03,3,Aug-15
9903,ZP03,2,Apr-15
10001,ZP02,1,Jun-15
10297,ZP02,6,Jun-15
10297,ZP03,8,Aug-15
12937,ZP02,1,Aug-15
12937,ZP03,10,Aug-15
13854,ZP02,13,Jun-15
13854,ZP03,6,Apr-15
13859,ZP03,22,Aug-15
14711,ZP01,3,Jun-15
14711,ZP02,34,Aug-15
14711,ZP03,23,Aug-15
18078,ZP02,24,Aug-15
18078,ZP03,16,Aug-15
18599,ZP02,20,Aug-15
18884,ZP01,7,Jun-15
19295,ZP03,1,Aug-15
19315,ZP01,3,Feb-15
19315,ZP02,7,Apr-15
19484,ZP02,12,Aug-15
19484,ZP03,20,Apr-15
20807,ZP02,7,Aug-15
20807,ZP03,5,Aug-15
21543,ZP02,52,Mar-15
22956,ZP02,16,Apr-15
22956,ZP03,10,Jun-15
23070,ZP02,1,Jun-15
24369,ZP02,9,May-15
24630,ZP02,18,May-15
24630,ZP03,10,Jan-15
25758,ZP02,174,Aug-15
26118,ZP02,2,Aug-15
26776,ZP01,6,Jul-15
26776,ZP02,17,Aug-15
27192,ZP02,11,Jun-15
27192,ZP03,3,Apr-15
28007,ZP02,2,Apr-15
28007,ZP03,7,Jul-15
30130,ZP01,1,Aug-15
30130,ZP02,4,Aug-15
30130,ZP03,4,Aug-15
32145,ZP02,6,Aug-15
32402,ZP01,10,May-15
33763,ZP01,1,Feb-15
33763,ZP02,1,Jan-15
34483,ZP02,1,Aug-15
35899,ZP01,2,May-15
35899,ZP02,11,Aug-15
35899,ZP03,21,Aug-15
36016,ZP02,8,Aug-15
36016,ZP03,6,Aug-15
36823,ZP01,12,Jun-15
37301,ZP02,7,Mar-15
38092,ZP02,4,Mar-15
39412,ZP02,1,Jul-15
40409,ZP02,62,Aug-15
40409,ZP03,40,Aug-15
41766,ZP03,1,Mar-15
42369,ZP03,32,Aug-15
42472,ZP03,2,Apr-15
45597,ZP03,6,May-15
46057,ZP03,25,Aug-15
46189,ZP03,36,Aug-15
47410,ZP02,10,Jul-15
47508,ZP02,33,Aug-15
48170,ZP02,3,Jul-15
49998,ZP03,6,Aug-15
51697,ZP03,6,Aug-15
54074,ZP01,3,Aug-15
55090,ZP03,16,Aug-15
55161,ZP02,15,Aug-15
56335,ZP01,10,Aug-15
56335,ZP02,110,Aug-15
56335,ZP03,11,Aug-15
57910,ZP02,26,Jul-15
58513,ZP03,4,Jan-15
59801,ZP02,4,Jan-15
60646,ZP02,12,Aug-15
61053,ZP02,14,Aug-15
61053,ZP03,9,Aug-15
61598,ZP02,20,Aug-15
62880,ZP02,3,Jul-15
64099,ZP02,44,Aug-15
64099,ZP03,14,Aug-15
64582,ZP02,4,Aug-15
64582,ZP03,4,Jul-15
65482,ZP02,6,Aug-15
65923,ZP02,2,Jan-15
71306,ZP01,13,Aug-15
71306,ZP02,9,May-15
72677,ZP01,7,Jul-15
72677,ZP02,1,Jun-15
72677,ZP03,18,Aug-15
73579,ZP03,2,Aug-15
74128,ZP03,20,Aug-15
74476,ZP02,2,May-15
75568,ZP02,25,Apr-15
75851,ZP02,1,Mar-15
78581,ZP03,26,Aug-15
79247,ZP02,301,Aug-15
79247,ZP03,6,Aug-15
80297,ZP03,8,May-15
80879,ZP02,34,Aug-15
80879,ZP03,18,Apr-15
81520,ZP02,2,Jun-15
82338,ZP02,5,Aug-15
82338,ZP03,3,Apr-15
83817,ZP02,14,Aug-15
83817,ZP03,13,Aug-15
84165,ZP02,6,Jun-15
