EID,TARGET
1,0
7,0
15,1
17,0
19,0
23,0
24,0
25,1
26,0
31,0
53,0
56,0
58,0
66,0
77,0
83,0
84,1
86,0
87,0
88,0
92,0
93,0
99,0
100,0
103,0
104,0
107,0
112,1
116,0
120,0
124,0
126,0
129,1
132,0
135,0
143,1
144,0
149,0
153,1
156,1
157,1
159,0
162,0
163,0
164,0
165,0
169,0
171,0
172,0
173,0
177,0
179,0
181,0
184,0
185,0
198,0
202,0
211,0
214,0
216,0
219,0
226,0
230,0
231,1
233,0
241,0
242,0
244,0
246,0
247,0
252,0
253,0
260,0
263,0
264,0
268,1
269,0
271,0
274,0
276,0
286,0
289,0
291,0
297,0
301,0
302,0
304,0
306,0
307,0
308,0
309,0
310,0
317,0
318,1
319,0
324,0
325,0
328,0
329,0
330,0
331,0
343,0
344,0
347,0
354,0
355,0
356,0
361,1
363,0
370,0
373,0
380,0
381,0
383,0
386,1
397,0
398,0
399,0
400,0
402,0
404,0
407,1
410,0
411,0
423,0
426,0
428,1
439,0
441,0
443,1
446,0
458,0
459,0
462,1
468,0
480,0
481,1
486,0
489,0
498,0
501,0
502,0
507,0
510,0
514,0
518,0
519,1
521,0
527,1
528,0
529,0
532,0
535,0
537,0
539,0
540,1
543,0
546,0
547,0
550,0
556,0
558,1
559,0
565,0
569,1
573,1
576,0
581,0
587,0
598,0
613,0
616,0
618,1
619,0
622,0
625,0
629,0
641,0
642,0
648,0
650,0
654,0
655,0
656,0
661,0
662,0
663,1
668,1
670,0
671,0
680,0
686,1
687,0
693,0
696,0
702,1
703,0
707,0
708,0
711,0
713,1
714,0
715,0
721,1
722,0
724,0
728,1
731,0
738,1
745,0
747,1
748,1
755,0
756,0
759,1
760,1
766,0
768,0
774,0
787,0
788,0
789,0
791,0
792,0
809,0
810,0
814,0
820,0
821,0
822,0
826,0
832,0
838,0
845,1
847,0
848,0
851,1
857,0
864,0
866,0
870,1
871,0
882,0
884,0
886,0
887,0
890,1
896,0
897,0
899,0
900,0
901,0
904,0
905,0
906,0
910,0
911,0
914,0
916,1
917,1
918,0
922,0
925,0
926,1
929,1
935,0
940,1
949,0
954,0
957,0
958,0
960,0
961,0
965,0
967,1
968,0
971,0
973,0
974,0
976,1
977,0
978,0
982,1
986,0
992,0
998,1
1000,0
1010,0
1011,1
1020,0
1021,0
1030,0
1031,0
1041,0
1043,0
1044,0
1045,0
1046,0
1058,0
1063,0
1064,0
1066,0
1067,0
1070,0
1074,0
1077,1
1079,1
1080,0
1083,0
1085,1
1088,0
1093,0
1094,0
1100,0
1103,0
1104,0
1107,1
1108,1
1115,0
1117,0
1118,0
1119,0
1123,0
1127,0
1131,0
1132,0
1134,0
1135,0
1145,0
1150,0
1153,0
1155,0
1160,1
1161,0
1163,0
1169,0
1177,0
1178,0
1182,1
1186,0
1187,0
1188,0
1192,0
1193,0
1194,0
1196,0
1197,0
1199,0
1200,0
1202,0
1203,1
1204,0
1206,0
1207,1
1213,1
1220,0
1224,1
1228,0
1231,1
1238,0
1239,0
1240,0
1242,0
1243,0
1245,1
1250,0
1252,1
1254,0
1257,0
1264,0
1268,0
1271,0
1273,0
1275,0
1276,0
1278,1
1280,1
1284,0
1290,1
1295,0
1299,0
1304,0
1305,0
1308,0
1311,0
1315,0
1318,0
1319,0
1322,0
1324,1
1329,0
1330,0
1331,0
1332,0
1334,0
1335,0
1336,0
1339,0
1341,0
1350,1
1358,0
1360,0
1362,0
1366,0
1367,1
1373,0
1374,0
1376,0
1377,0
1378,1
1382,1
1384,0
1385,0
1386,0
1389,0
1390,0
1391,0
1395,1
1398,1
1399,0
1402,0
1405,0
1407,0
1408,0
1415,0
1419,0
1425,0
1445,0
1451,0
1454,0
1456,0
1457,0
1458,0
1459,1
1461,1
1463,0
1464,0
1467,1
1470,0
1475,0
1478,0
1479,0
1480,0
1489,0
1495,0
1496,0
1502,1
1503,0
1506,0
1516,1
1520,0
1523,1
1524,0
1527,0
1534,0
1536,0
1537,0
1539,0
1540,1
1541,0
1543,0
1544,0
1546,0
1552,1
1555,0
1556,0
1560,0
1565,0
1567,0
1571,0
1572,0
1576,0
1579,0
1580,0
1581,0
1582,0
1591,0
1592,0
1596,0
1597,0
1600,1
1602,0
1606,0
1611,1
1619,0
1620,1
1624,0
1625,0
1626,1
1640,0
1653,0
1654,0
1657,0
1662,1
1667,0
1669,0
1674,1
1677,0
1680,1
1681,0
1683,0
1685,0
1686,0
1687,0
1689,0
1690,0
1691,0
1696,0
1699,0
1700,1
1701,0
1710,0
1712,0
1722,0
1724,0
1738,1
1739,0
1741,1
1746,0
1747,1
1748,0
1751,0
1752,0
1759,0
1765,0
1767,1
1775,0
1776,0
1777,0
1778,0
1779,0
1783,0
1785,0
1789,0
1795,0
1800,0
1801,0
1803,0
1805,1
1809,0
1818,0
1819,0
1821,0
1831,0
1834,0
1839,0
1845,0
1848,0
1852,0
1854,0
1858,0
1861,0
1865,0
1881,0
1887,0
1893,0
1914,0
1916,0
1918,1
1927,0
1931,0
1933,0
1936,0
1940,0
1947,0
1949,0
1950,0
1951,0
1953,0
1955,0
1956,0
1959,0
1962,1
1963,1
1964,0
1967,1
1971,0
1973,0
1978,0
1988,0
1993,0
1994,0
1998,0
1999,0
2002,0
2009,0
2013,1
2016,0
2022,1
2034,0
2044,0
2045,0
2047,0
2049,0
2051,0
2060,0
2061,1
2063,0
2065,0
2067,1
2069,1
2074,0
2084,0
2090,0
2091,1
2097,0
2100,0
2102,0
2103,0
2105,1
2108,0
2110,0
2116,0
2117,0
2120,0
2121,0
2135,0
2137,0
2139,1
2143,0
2145,0
2149,0
2155,0
2156,1
2160,1
2171,0
2172,0
2173,0
2174,0
2176,0
2180,0
2181,0
2183,0
2184,0
2187,1
2188,0
2191,0
2193,1
2199,0
2200,0
2202,0
2203,0
2204,1
2205,0
2211,0
2213,0
2218,0
2222,0
2223,0
2227,1
2230,0
2231,0
2232,1
2235,0
2242,0
2246,0
2247,0
2251,0
2253,0
2255,0
2261,0
2266,1
2267,0
2272,0
2276,0
2279,0
2280,0
2282,1
2290,0
2291,0
2292,1
2295,0
2302,0
2303,0
2307,0
2309,0
2311,0
2314,0
2315,0
2321,0
2323,0
2326,0
2328,0
2329,0
2330,1
2335,0
